RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,82,58,24,984.0,111.5,109.5,2.0,60.6,1.53,17.5,25.2,71.3,49.8,15.6,56.0,59.3,99.0,53.1,
2,BOS,82,57,25,984.0,112.4,110.4,2.1,61.2,1.65,18.0,26.1,74.0,50.3,15.0,55.2,58.5,94.76,51.6,
3,PHI,82,54,28,984.0,116.7,108.4,8.3,59.0,1.6,17.1,29.5,71.1,50.9,14.7,55.0,60.2,94.41,54.6,
4,DEN,82,53,29,984.0,109.8,111.4,-1.6,65.0,1.62,18.6,27.6,73.0,50.8,16.0,54.0,57.6,95.15,49.9,
5,CLE,82,51,31,984.0,115.1,106.2,8.9,56.2,1.44,16.5,30.4,69.5,50.7,15.6,55.0,59.6,92.32,56.3,
5,MEM,82,51,31,984.0,107.0,112.3,-5.2,60.0,1.55,16.9,31.6,71.0,50.6,15.3,50.8,54.0,97.95,46.6,
7,SAC,82,48,34,984.0,117.9,113.1,4.8,57.3,1.67,17.4,28.3,71.3,50.1,14.2,56.9,61.0,97.9,52.3,
8,NYK,82,47,35,984.0,112.4,113.4,-1.0,53.8,1.51,15.6,32.2,69.7,51.2,14.2,52.1,56.2,95.34,49.9,
9,BKN,82,45,37,984.0,114.9,113.3,1.6,56.6,1.53,17.2,24.0,67.5,47.2,15.0,56.9,61.2,95.2,51.5,
9,PHX,82,45,37,984.0,111.4,112.8,-1.3,62.6,1.72,17.7,32.6,70.8,50.7,14.7,51.5,55.4,96.95,49.0,
11,GSW,82,44,38,984.0,113.7,110.5,3.2,67.7,1.76,19.7,29.3,72.3,50.4,15.9,55.7,58.6,98.41,50.9,
11,LAC,82,44,38,984.0,115.1,112.0,3.1,56.3,1.64,16.7,29.6,72.5,51.2,13.9,53.5,58.2,97.17,51.3,
11,MIA,82,44,38,984.0,112.9,108.1,4.8,57.3,1.56,16.7,27.0,70.4,49.0,14.5,54.0,58.8,93.44,53.3,
14,LAL,82,43,39,984.0,120.4,113.4,7.0,57.0,1.81,17.2,29.0,71.1,51.2,13.0,56.2,61.0,97.98,54.4,
15,MIN,82,42,40,984.0,111.6,112.4,-0.8,60.5,1.67,17.7,24.8,69.4,47.2,14.5,54.1,58.0,98.73,50.2,
15,NOP,82,42,40,984.0,114.4,113.0,1.4,60.2,1.75,17.8,30.2,71.3,51.2,14.1,53.9,58.5,96.0,51.9,
17,ATL,82,41,41,984.0,112.6,116.1,-3.5,54.3,1.67,16.4,29.9,71.2,50.1,13.6,53.1,56.6,97.49,47.4,
17,TOR,82,41,41,984.0,115.0,113.2,1.8,58.1,1.94,17.2,33.3,70.3,50.7,12.6,51.4,55.7,94.54,50.2,
19,CHI,82,40,42,984.0,113.3,110.4,2.8,52.6,1.57,15.9,26.1,71.8,49.4,13.6,53.4,58.0,97.0,51.0,
19,OKC,82,40,42,984.0,108.9,111.1,-2.2,55.3,1.53,16.1,27.1,69.6,48.2,14.2,51.6,56.2,99.49,48.9,
21,DAL,82,38,44,984.0,113.0,115.9,-2.9,57.7,1.83,16.6,21.7,69.7,45.5,12.1,54.4,58.4,93.34,46.9,
22,UTA,82,37,45,984.0,116.7,117.1,-0.4,58.0,1.69,16.9,32.6,70.1,51.3,14.0,53.1,57.7,98.22,50.4,
23,IND,82,35,47,984.0,116.4,113.0,3.4,60.0,1.67,17.0,34.4,66.7,50.0,14.4,52.2,57.2,98.73,50.5,
23,WAS,82,35,47,984.0,112.3,112.9,-0.6,54.9,1.52,15.9,29.8,69.6,50.0,14.3,52.0,57.0,96.1,51.1,
25,ORL,82,34,48,984.0,115.8,113.3,2.5,55.8,1.62,16.2,31.0,72.9,51.8,13.8,53.0,58.3,96.22,50.8,
26,POR,82,33,49,984.0,109.9,115.8,-5.9,56.2,1.41,16.0,27.1,71.8,49.0,15.3,52.5,57.1,96.54,46.2,
27,CHA,82,27,55,984.0,108.9,110.1,-1.2,59.5,1.54,16.8,30.0,72.4,50.9,15.1,51.4,55.4,99.44,49.6,
28,HOU,82,22,60,984.0,107.7,114.7,-7.0,55.3,1.22,15.1,34.3,75.1,54.2,17.1,50.0,54.6,98.44,45.0,
28,SAS,82,22,60,984.0,106.1,121.4,-15.3,59.2,1.42,16.6,29.6,69.0,48.3,16.0,50.6,54.8,98.66,42.1,
30,DET,82,17,65,984.0,109.7,117.5,-7.7,56.0,1.5,15.3,29.2,67.3,47.5,13.9,50.0,55.2,96.02,44.2,
