RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,82,58,24,984.0,118.8,115.4,3.4,59.8,1.98,18.4,29.7,75.6,52.8,13.0,55.9,59.2,101.73,51.6,
2,BOS,82,57,25,984.0,119.3,112.2,7.1,62.7,1.93,19.0,25.8,75.3,51.0,13.6,57.1,60.8,99.1,52.9,
3,PHI,82,54,28,984.0,116.9,115.4,1.5,64.1,1.88,19.7,21.0,72.0,48.0,14.2,57.8,62.2,96.78,51.3,
4,DEN,82,53,29,984.0,118.4,113.0,5.3,67.9,2.03,20.9,29.1,73.0,51.2,14.8,58.1,60.6,98.71,53.4,
5,CLE,82,51,31,984.0,115.5,114.6,0.9,59.5,1.73,18.4,27.1,72.0,50.1,14.6,55.8,59.7,96.02,51.2,
5,MEM,82,51,31,984.0,121.1,115.8,5.3,57.9,1.93,18.3,30.6,69.7,50.6,13.3,56.5,60.1,102.0,52.2,
7,SAC,82,48,34,984.0,120.1,116.3,3.9,65.3,2.2,20.4,23.7,73.9,49.0,12.8,58.8,62.1,100.44,51.6,
8,NYK,82,47,35,984.0,119.4,117.1,2.3,56.8,1.92,17.5,30.4,71.2,50.9,12.7,55.1,59.0,96.1,50.8,
9,BKN,82,45,37,984.0,113.2,110.9,2.3,62.9,1.91,19.1,22.5,67.6,46.4,13.6,54.8,58.6,99.02,52.2,
9,PHX,82,45,37,984.0,119.5,117.1,2.4,63.5,2.13,19.6,29.8,71.3,50.4,13.0,56.0,59.7,99.63,51.5,
11,GSW,82,44,38,984.0,115.4,114.4,1.0,71.3,1.75,20.4,28.4,70.9,50.1,16.6,57.4,60.7,103.34,51.1,
11,LAC,82,44,38,984.0,118.8,113.5,5.4,58.7,1.8,18.1,25.7,71.5,50.2,13.7,57.8,61.8,98.29,52.9,
11,MIA,82,44,38,984.0,108.1,115.7,-7.5,60.4,1.61,17.4,25.4,73.2,48.3,14.7,51.5,55.9,96.59,45.8,
14,LAL,82,43,39,984.0,112.0,116.1,-4.2,58.7,1.64,17.6,28.0,72.1,50.4,14.7,53.2,57.4,102.07,48.4,
15,MIN,82,42,40,984.0,113.4,117.8,-4.4,60.9,1.54,18.4,25.7,71.0,48.8,16.4,57.0,60.3,101.24,47.5,
15,NOP,82,42,40,984.0,116.4,117.7,-1.2,60.2,1.7,18.0,31.4,73.8,52.4,14.7,54.6,59.1,100.56,50.1,
17,ATL,82,41,41,984.0,117.0,114.4,2.6,57.0,1.89,17.5,29.6,68.9,49.1,12.8,53.9,58.6,101.59,51.1,
17,TOR,82,41,41,984.0,114.7,113.6,1.1,55.2,1.96,16.3,32.1,74.2,50.6,11.6,50.3,54.9,97.63,48.8,
19,CHI,82,40,42,984.0,113.6,112.8,0.8,56.3,1.74,18.0,24.3,73.3,49.4,13.9,55.7,59.1,99.8,51.0,
19,OKC,82,40,42,984.0,119.5,111.7,7.9,56.6,2.01,17.7,32.1,68.9,50.2,12.4,54.8,58.8,102.0,53.6,
21,DAL,82,38,44,984.0,118.7,115.3,3.4,57.2,1.81,17.8,22.9,72.1,47.8,13.2,58.7,62.3,97.34,50.7,
22,UTA,82,37,45,984.0,120.1,118.6,1.5,62.7,1.94,19.2,33.2,70.0,51.8,14.2,56.2,59.6,100.59,51.1,
23,IND,82,35,47,984.0,115.1,122.7,-7.6,66.4,1.89,20.0,26.4,67.2,46.8,14.8,57.2,59.9,100.12,46.9,
23,WAS,82,35,47,984.0,114.4,115.7,-1.2,63.6,1.82,19.4,27.3,74.9,51.7,14.8,55.8,59.4,99.78,50.1,
25,ORL,82,34,48,984.0,110.5,115.7,-5.2,56.9,1.45,16.5,28.7,74.8,51.4,15.4,52.6,56.8,98.88,47.3,
26,POR,82,33,49,984.0,115.3,120.9,-5.6,59.4,1.68,18.1,24.6,72.6,48.4,14.6,56.5,60.2,99.59,46.1,
27,CHA,82,27,55,984.0,112.2,114.5,-2.2,60.7,1.97,17.9,28.0,70.7,48.8,12.7,52.2,56.0,99.54,48.8,
28,HOU,82,22,60,984.0,113.3,119.8,-6.5,56.0,1.46,16.4,35.1,74.2,53.6,15.8,52.5,56.3,98.61,46.5,
28,SAS,82,22,60,984.0,111.8,117.3,-5.5,62.5,1.89,18.4,32.3,72.2,50.8,14.0,52.0,55.0,101.37,46.8,
30,DET,82,17,65,984.0,112.5,119.3,-6.8,60.9,1.68,18.1,28.1,70.0,48.4,14.9,54.0,57.9,100.9,46.2,
