RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,CLE,42,36,6,504.0,118.9,110.3,8.6,62.1,1.86,18.7,31.1,72.3,52.5,14.2,56.9,60.5,97.33,55.5,
2,OKC,42,35,7,504.0,111.3,103.3,7.9,61.5,1.87,17.8,27.3,69.2,48.9,13.1,52.4,56.3,97.14,55.6,
3,BOS,43,30,13,516.0,115.5,113.9,1.6,62.0,1.92,17.9,29.2,69.3,49.3,13.0,53.9,57.8,94.51,52.3,
4,NYK,45,29,16,540.0,112.4,116.4,-4.0,57.9,1.73,17.9,26.8,73.6,50.4,14.2,55.6,58.6,96.0,48.7,
5,HOU,42,28,14,504.0,109.7,110.9,-1.2,54.2,1.36,15.3,36.3,67.3,51.5,15.8,50.0,53.8,97.9,49.2,
5,MEM,43,28,15,516.0,114.9,117.1,-2.3,62.7,1.53,18.4,31.4,66.1,49.1,17.0,55.9,59.8,101.3,50.5,
7,DEN,42,26,16,504.0,117.0,107.4,9.6,65.9,2.06,19.8,27.9,71.9,50.4,13.6,56.2,59.7,97.67,54.7,
8,IND,43,24,19,516.0,114.9,115.0,-0.1,60.2,1.8,18.3,27.1,74.1,50.9,14.0,55.8,59.4,97.49,50.4,
8,LAC,42,24,18,504.0,110.6,109.9,0.7,59.3,1.37,16.8,28.2,72.6,51.0,16.7,53.4,57.8,98.05,50.3,
8,MIL,41,24,17,492.0,104.8,107.0,-2.2,59.2,1.37,16.3,22.2,73.3,48.5,15.7,52.3,56.2,99.17,48.4,
11,DAL,43,23,20,516.0,119.1,112.6,6.5,59.0,1.84,17.9,29.8,70.2,50.0,13.6,56.2,60.0,96.05,52.9,
11,ORL,45,23,22,540.0,111.1,100.3,10.9,61.2,1.58,17.1,26.4,75.9,50.5,14.7,53.2,57.5,96.13,56.2,
13,ATL,42,22,20,504.0,114.1,110.8,3.3,68.3,1.94,19.1,27.1,73.0,50.0,13.7,53.8,58.8,100.62,53.4,
13,DET,43,22,21,516.0,107.9,104.0,3.9,56.9,1.43,15.9,30.4,71.4,50.8,15.3,51.0,54.7,96.33,52.3,
13,LAL,40,22,18,480.0,112.6,122.5,-9.9,63.5,2.09,18.3,24.5,68.8,46.0,12.0,53.1,57.4,94.85,45.8,950.0
13,MIN,43,22,21,516.0,112.8,110.7,2.1,62.4,1.56,17.8,30.8,70.8,51.4,16.0,54.4,58.0,97.12,51.5,
13,SAC,42,22,20,504.0,117.6,111.2,6.4,55.3,1.8,17.0,30.7,75.7,52.8,13.1,55.0,58.5,96.43,51.3,
18,GSW,42,21,21,504.0,113.8,115.6,-1.9,61.6,1.89,17.5,34.1,71.0,52.1,13.3,52.2,55.5,96.43,48.6,
18,MIA,42,21,21,504.0,116.1,112.0,4.1,63.0,1.89,18.9,26.0,68.7,47.9,13.9,56.8,59.9,94.24,52.1,996.0
18,PHX,42,21,21,504.0,109.7,111.2,-1.4,66.8,1.82,18.3,25.6,71.1,48.9,13.8,52.8,57.4,97.52,50.5,
21,CHI,44,19,25,528.0,110.6,113.5,-2.9,63.7,1.75,17.8,27.1,71.5,49.3,14.1,52.2,56.2,101.95,48.3,
21,SAS,41,19,22,492.0,112.8,115.4,-2.6,63.0,1.91,18.0,29.5,73.1,51.4,13.2,52.4,56.3,96.68,50.1,997.0
23,PHI,41,15,26,492.0,110.4,119.3,-8.9,52.8,1.39,15.3,24.8,66.9,45.0,14.5,53.3,58.0,95.07,44.9,974.0
23,POR,43,15,28,516.0,109.9,121.5,-11.6,50.4,1.2,14.3,33.2,66.3,49.1,16.4,51.0,55.4,98.42,42.3,
25,BKN,44,14,30,528.0,110.1,111.0,-0.9,63.5,1.56,17.5,25.8,73.7,49.7,15.3,52.7,57.1,95.32,47.2,
26,NOP,44,12,32,528.0,114.2,115.3,-1.1,63.6,1.83,19.1,29.1,63.9,46.7,14.8,54.9,57.8,97.0,48.8,
27,CHA,39,11,28,468.0,111.1,106.3,4.7,58.9,1.5,16.5,34.1,75.6,53.3,15.5,51.1,54.8,97.33,49.8,949.0
27,TOR,43,11,32,516.0,109.4,115.7,-6.3,66.9,1.62,18.4,34.4,68.5,51.5,16.3,52.2,55.9,97.07,47.2,
29,UTA,41,10,31,492.0,115.6,122.9,-7.3,60.2,1.37,17.3,30.7,72.7,52.3,17.5,55.7,60.5,97.66,46.8,
30,WAS,41,6,35,492.0,109.3,115.5,-6.2,62.3,1.82,17.4,28.5,69.7,48.1,13.4,50.1,54.4,101.71,45.5,
