RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,CLE,42,36,6,504.0,122.5,118.7,3.8,66.6,2.3,20.7,29.1,67.8,48.4,12.9,58.4,61.4,101.62,51.8,
2,OKC,42,35,7,504.0,119.6,104.7,14.9,58.0,2.58,18.6,29.5,66.8,48.3,10.2,54.4,58.0,100.0,57.5,
3,BOS,43,30,13,516.0,120.4,106.8,13.5,57.4,1.89,17.3,31.7,73.0,52.1,12.8,55.9,59.1,96.65,54.0,
4,NYK,45,29,16,540.0,123.1,112.0,11.1,67.1,2.42,20.6,32.5,69.9,51.4,12.4,56.4,60.2,96.62,56.5,
5,HOU,42,28,14,504.0,118.3,109.5,8.9,52.8,1.76,15.9,36.3,70.8,52.8,12.8,52.4,56.6,100.76,53.9,
5,MEM,43,28,15,516.0,118.9,105.9,12.9,65.1,1.69,19.0,36.3,69.9,53.7,16.2,55.7,59.7,106.51,57.4,
7,DEN,43,27,16,516.0,122.7,110.1,12.6,72.9,2.5,22.0,35.3,68.4,53.1,13.2,56.9,60.2,100.84,57.2,
8,IND,43,24,19,516.0,118.4,118.1,0.3,69.8,2.13,21.7,26.2,67.8,48.1,14.5,59.3,62.1,101.81,52.3,
8,LAC,42,24,18,504.0,114.7,108.7,6.0,56.4,1.48,17.7,28.0,71.3,49.9,16.4,56.7,59.8,100.1,51.1,
8,MIL,41,24,17,492.0,116.9,116.6,0.3,58.8,1.76,18.7,24.8,72.6,50.0,14.5,58.7,61.1,97.61,51.0,
11,DAL,43,23,20,516.0,112.9,115.0,-2.1,57.3,1.76,17.5,28.6,68.1,48.4,13.7,53.3,56.9,101.35,48.9,
11,LAL,41,23,18,492.0,111.4,114.0,-2.6,69.8,2.01,19.9,26.4,70.8,49.1,13.9,53.6,57.5,97.61,49.9,
11,ORL,45,23,22,540.0,106.7,105.3,1.4,62.0,1.58,16.8,32.4,72.1,50.9,14.9,49.1,53.3,95.78,50.9,
14,ATL,42,22,20,504.0,111.3,115.2,-3.9,64.1,1.62,19.0,31.6,70.8,50.8,16.7,54.9,57.3,103.71,47.9,
14,DET,43,22,21,516.0,116.6,116.3,0.3,60.9,1.75,18.4,33.8,72.2,53.0,15.1,55.2,58.0,97.4,49.6,
14,MIN,43,22,21,516.0,115.5,114.9,0.6,61.7,1.52,17.9,31.8,70.7,51.4,16.5,55.2,59.3,97.4,50.2,
14,SAC,42,22,20,504.0,111.0,110.5,0.5,59.8,1.8,17.9,28.2,72.7,50.0,13.8,52.2,56.2,101.24,51.3,
18,GSW,42,21,21,504.0,121.3,116.2,5.1,66.7,2.23,20.5,31.0,69.1,50.0,13.3,57.5,60.2,99.52,51.9,
18,MIA,42,21,21,504.0,112.3,116.5,-4.3,67.6,1.92,19.3,26.8,72.3,49.5,14.0,53.9,57.5,97.57,48.1,
18,PHX,42,21,21,504.0,114.4,118.9,-4.5,68.2,2.26,20.3,24.3,70.5,48.1,12.6,55.1,58.8,99.48,48.7,
21,CHI,44,19,25,528.0,118.7,116.1,2.5,65.6,2.07,20.6,24.1,69.5,47.8,13.9,58.8,61.6,105.91,50.7,
21,SAS,41,19,22,492.0,119.7,114.2,5.5,71.4,2.09,21.1,29.7,68.9,50.2,14.5,57.1,60.7,101.37,54.0,
23,PHI,42,15,27,504.0,111.1,116.1,-5.0,59.3,1.61,17.0,27.1,66.1,45.8,14.4,53.1,56.9,97.14,46.2,
23,POR,43,15,28,516.0,111.8,120.9,-9.2,59.3,1.3,17.3,32.5,66.0,49.2,18.6,54.9,58.3,99.81,44.6,
25,BKN,44,14,30,528.0,106.6,122.4,-15.9,66.4,1.32,18.1,28.7,69.3,47.7,19.1,52.8,56.5,96.91,40.2,
26,NOP,44,12,32,528.0,109.5,121.2,-11.7,61.4,1.64,17.0,33.4,64.9,48.0,14.8,50.1,53.8,99.82,44.1,
27,CHA,39,11,28,468.0,109.2,113.4,-4.2,62.7,1.5,17.4,32.1,69.9,50.9,16.4,51.9,55.3,97.9,47.6,953.0
27,TOR,43,11,32,516.0,115.4,121.9,-6.5,67.2,1.92,19.8,36.5,66.7,51.0,15.4,53.5,56.3,99.86,46.6,
29,UTA,41,10,31,492.0,109.4,120.4,-10.9,61.9,1.3,17.5,31.3,70.8,51.1,18.7,54.0,57.5,101.37,44.6,
30,WAS,42,6,36,504.0,105.0,125.8,-20.8,65.0,1.44,17.5,29.9,67.7,48.4,16.9,51.3,54.6,101.57,40.1,
