RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,CLE,42,36,6,504.0,121.2,106.0,15.2,66.7,2.44,21.5,21.6,72.6,48.5,12.3,60.7,62.9,102.24,56.5,
2,OKC,42,35,7,504.0,118.2,99.3,18.9,61.7,2.62,20.0,25.4,70.9,49.0,10.7,56.8,59.0,102.0,58.4,
3,BOS,43,30,13,516.0,121.2,104.1,17.1,60.7,2.57,19.0,27.2,74.7,50.9,10.4,56.6,58.8,102.47,55.7,
4,NYK,45,29,16,540.0,114.9,112.6,2.3,65.1,2.04,20.2,26.6,71.6,50.1,14.0,56.9,59.4,97.96,51.7,
5,HOU,42,28,14,504.0,116.1,104.4,11.7,51.0,1.9,15.8,34.8,75.0,54.2,11.8,51.8,54.5,99.05,53.6,
5,MEM,43,28,15,516.0,116.9,110.4,6.5,66.8,1.95,20.5,28.9,74.2,51.9,15.0,56.9,59.7,106.84,53.7,
7,DEN,43,27,16,516.0,118.3,117.8,0.5,71.1,2.18,22.3,29.8,72.3,52.1,14.8,58.8,61.6,103.53,52.0,
8,IND,43,24,19,516.0,112.6,109.6,3.0,66.8,2.29,20.8,23.7,73.2,49.0,12.7,55.6,58.3,101.16,52.0,
8,LAC,42,24,18,504.0,110.5,106.4,4.1,63.6,1.9,19.0,25.2,74.6,50.1,13.9,53.6,56.5,98.0,52.0,
8,MIL,41,24,17,492.0,117.8,110.2,7.6,60.2,2.07,19.2,24.7,75.2,51.2,12.7,58.2,60.7,102.24,53.5,
11,DAL,43,23,20,516.0,111.0,109.4,1.6,58.6,1.67,17.9,25.7,72.6,50.1,14.7,55.3,57.8,102.51,50.2,
11,LAL,41,23,18,492.0,112.8,115.7,-2.9,65.9,1.95,20.2,29.1,73.9,51.5,14.8,55.3,58.1,100.83,50.1,
11,ORL,45,23,22,540.0,111.6,115.4,-3.7,64.8,1.73,19.6,32.5,74.1,52.0,16.3,54.3,57.1,97.73,49.3,
14,ATL,42,22,20,504.0,109.0,113.4,-4.4,72.2,1.84,20.5,28.8,70.6,49.6,15.9,53.4,56.6,106.9,49.0,
14,DET,43,22,21,516.0,113.1,113.8,-0.8,65.8,1.81,20.1,28.0,75.0,51.7,15.6,56.4,59.1,102.23,49.2,
14,MIN,43,22,21,516.0,111.1,107.9,3.2,64.8,1.83,19.0,24.2,70.7,48.2,14.4,56.0,58.2,97.95,51.3,
14,SAC,42,22,20,504.0,115.6,117.0,-1.4,66.9,2.29,21.1,25.4,72.5,49.6,13.1,56.9,59.3,102.05,50.5,
18,GSW,42,21,21,504.0,106.6,108.1,-1.5,76.1,2.14,21.0,30.4,76.1,52.4,14.5,51.0,52.8,100.76,49.2,
18,MIA,42,21,21,504.0,110.0,113.4,-3.4,68.6,2.01,20.1,23.3,71.5,48.1,13.9,54.1,57.4,99.76,49.1,
18,PHX,42,21,21,504.0,117.8,118.0,-0.1,69.4,2.01,21.5,24.3,71.0,49.1,15.0,60.5,63.0,98.48,51.0,
21,CHI,44,19,25,528.0,106.9,111.8,-4.9,70.4,2.2,20.8,23.4,76.5,50.5,13.3,53.5,55.4,104.27,48.3,
21,SAS,41,19,22,492.0,106.0,111.8,-5.8,72.0,1.89,20.1,25.6,71.0,48.6,15.0,51.8,54.9,99.76,48.2,
23,PHI,42,15,27,504.0,107.3,111.0,-3.7,58.7,1.73,16.9,26.2,70.8,47.0,13.3,50.6,54.0,98.29,45.7,
23,POR,43,15,28,516.0,102.1,114.0,-11.9,61.4,1.69,17.1,31.0,71.0,49.5,14.3,47.5,49.9,99.72,43.4,
25,BKN,44,14,30,528.0,115.7,115.7,0.0,68.8,2.19,20.6,28.3,72.7,49.4,13.5,55.6,58.1,96.59,48.5,
26,NOP,44,12,32,528.0,110.0,117.8,-7.7,64.6,2.09,19.1,28.8,70.5,48.6,13.0,51.8,54.7,101.23,46.3,
27,CHA,39,11,28,468.0,104.3,114.0,-9.6,63.2,1.72,17.6,30.1,69.9,48.4,14.6,49.1,51.4,99.23,44.7,968.0
27,TOR,43,11,32,516.0,105.1,118.4,-13.4,71.0,1.98,20.6,26.2,69.5,47.0,14.9,51.9,53.9,101.12,43.9,
29,UTA,41,10,31,492.0,110.2,115.3,-5.1,66.8,1.64,18.9,32.1,71.7,52.0,16.6,53.3,56.1,100.24,47.5,
30,WAS,42,6,36,504.0,102.9,114.9,-12.0,61.2,1.58,17.8,25.7,73.4,49.3,15.4,51.2,53.5,105.71,44.0,
