RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,PHX,82,64,18,984.0,109.1,104.7,4.4,64.6,1.97,19.3,25.6,72.4,49.6,13.6,52.3,55.8,100.61,53.6,
2,MEM,82,56,26,984.0,113.9,105.3,8.6,60.5,2.03,18.1,33.8,72.5,52.9,12.8,52.0,55.0,101.29,54.8,
3,GSW,82,53,29,984.0,111.6,107.8,3.8,67.2,1.71,19.2,29.1,73.8,51.6,15.8,53.8,57.2,100.39,52.4,
3,MIA,82,53,29,984.0,116.0,113.0,3.0,59.3,1.51,17.7,28.1,70.9,50.0,16.0,56.3,60.6,97.78,51.1,
5,DAL,82,52,30,984.0,112.6,110.0,2.6,59.1,1.94,17.6,27.9,72.1,49.6,12.6,52.5,56.1,97.61,50.5,
6,BOS,82,51,31,984.0,111.7,104.5,7.2,60.9,1.82,17.8,27.6,72.0,50.4,13.5,52.8,56.5,97.37,54.5,
6,MIL,82,51,31,984.0,115.6,109.9,5.7,59.9,1.86,18.4,26.8,72.2,50.1,13.7,56.1,58.8,100.54,52.6,
6,PHI,82,51,31,984.0,112.6,113.0,-0.4,58.0,1.77,17.3,28.6,71.4,50.2,13.5,52.2,56.6,97.41,49.9,
9,UTA,82,49,33,984.0,116.9,107.7,9.2,54.2,1.58,16.3,32.3,71.9,53.1,14.2,54.7,58.4,97.17,55.0,
10,DEN,82,48,34,984.0,120.0,112.0,8.0,67.1,2.22,20.7,28.5,74.4,52.0,13.3,56.9,60.2,98.88,53.7,
10,TOR,82,48,34,984.0,109.9,110.8,-0.9,55.1,1.67,16.2,32.5,70.6,50.0,13.6,50.5,53.9,98.41,48.3,
12,CHI,82,46,36,984.0,113.5,112.5,1.0,58.0,2.08,18.3,23.9,70.8,47.9,12.0,54.2,57.9,97.73,50.2,
12,MIN,82,46,36,984.0,113.1,112.7,0.3,63.0,1.72,18.2,29.6,69.9,48.8,14.8,53.3,57.0,103.17,49.1,
14,BKN,82,44,38,984.0,114.2,111.4,2.8,59.7,1.8,17.8,29.7,69.6,50.2,13.8,52.9,57.2,100.95,51.9,
14,CLE,82,44,38,984.0,110.0,108.5,1.5,62.2,1.67,18.2,26.2,72.8,50.3,14.9,53.4,57.2,99.85,51.4,
16,ATL,82,43,39,984.0,119.7,114.8,5.0,59.0,2.14,18.2,28.6,72.7,51.1,11.8,56.1,60.3,100.15,52.9,
16,CHA,82,43,39,984.0,113.4,110.7,2.7,64.0,1.99,19.1,28.6,71.9,49.8,13.5,53.4,56.6,101.88,51.4,
18,LAC,82,42,40,984.0,105.7,108.2,-2.5,60.7,1.6,17.4,25.8,70.9,48.7,14.8,51.3,54.7,99.37,49.1,
19,NYK,82,37,45,984.0,111.1,108.2,2.9,57.9,1.57,16.5,28.9,74.6,52.2,14.4,52.2,56.6,98.39,51.8,
20,NOP,82,36,46,984.0,106.6,108.9,-2.3,62.6,1.7,17.8,29.0,73.1,50.6,14.6,49.8,53.7,98.54,50.0,
21,WAS,82,35,47,984.0,107.5,116.6,-9.1,62.5,1.82,18.4,23.7,74.1,48.4,13.8,51.9,55.5,99.76,46.0,
22,SAS,82,34,48,984.0,112.7,115.1,-2.4,65.9,2.19,20.0,30.2,69.6,49.7,13.1,52.6,55.5,101.59,49.8,
23,LAL,82,33,49,984.0,111.9,117.7,-5.8,57.8,1.6,17.6,24.2,68.3,47.0,14.8,55.4,58.8,102.88,47.3,
24,SAC,82,30,52,984.0,113.4,114.3,-0.8,59.6,1.63,17.7,29.3,70.3,49.9,15.0,53.3,57.4,101.8,49.0,
25,POR,82,27,55,984.0,113.4,116.5,-3.2,56.3,1.74,16.9,27.2,71.6,48.9,13.2,53.5,57.1,99.39,47.0,
26,IND,82,25,57,984.0,117.0,118.8,-1.8,60.8,1.93,18.8,33.1,70.6,51.2,13.8,54.9,58.1,99.78,48.6,
27,OKC,82,24,58,984.0,104.6,112.2,-7.6,56.8,1.48,16.5,25.6,73.1,49.1,15.1,51.4,54.2,100.71,45.7,
28,DET,82,23,59,984.0,109.0,115.0,-6.1,62.8,1.78,17.9,29.3,71.6,49.2,14.1,50.8,54.3,100.41,46.2,
29,ORL,82,22,60,984.0,101.8,111.4,-9.7,66.0,1.62,18.0,24.8,72.5,48.5,15.2,49.4,53.0,99.88,45.3,
30,HOU,82,20,62,984.0,104.6,119.7,-15.1,59.9,1.33,16.6,27.5,70.9,48.4,17.0,51.0,54.4,102.8,41.7,
