RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,UTA,72,52,20,12.0,110.2,9.2,75.1,1.7,1.3,4.1,3.2,2.8,11.8
2,PHX,72,51,21,12.0,111.5,8.5,75.9,1.7,1.1,3.4,2.7,2.5,11.1
3,PHI,72,49,23,12.0,104.1,8.1,74.4,2.3,1.7,4.5,2.5,2.5,10.1
4,BKN,72,48,24,12.0,112.9,8.4,72.9,1.6,1.1,3.8,3.9,2.5,11.2
5,DEN,72,47,25,12.0,106.9,8.5,74.7,2.0,1.3,3.9,3.0,3.2,10.7
5,LAC,72,47,25,12.0,110.4,8.3,73.5,1.5,1.0,3.7,3.0,2.4,11.3
7,MIL,72,46,26,12.0,113.8,8.8,72.7,1.7,1.3,4.4,3.6,2.3,10.2
8,DAL,72,42,30,12.0,113.0,8.2,75.1,1.5,1.0,3.4,3.2,3.1,10.6
8,LAL,72,42,30,12.0,103.9,8.2,74.4,2.1,1.2,3.9,2.7,2.6,10.7
8,POR,72,42,30,12.0,112.2,8.4,73.9,1.7,1.2,3.2,3.6,3.1,10.7
11,ATL,72,41,31,12.0,111.9,8.3,75.4,1.6,1.2,3.8,3.1,2.5,10.6
11,NYK,72,41,31,12.0,107.9,8.4,72.1,1.9,1.1,3.9,3.2,1.9,9.9
13,MIA,72,40,32,12.0,112.0,8.0,71.1,1.8,1.2,4.3,3.7,2.2,9.7
14,GSW,72,39,33,12.0,109.3,8.5,70.8,2.1,1.3,4.6,4.0,2.9,11.6
15,MEM,72,38,34,12.0,113.0,8.0,71.7,2.0,1.2,4.1,2.9,3.0,11.6
16,BOS,72,36,36,12.0,111.5,8.2,71.7,1.8,1.6,3.6,3.5,2.3,9.5
17,IND,72,34,38,12.0,110.1,8.3,72.5,2.0,1.4,4.6,3.8,2.7,12.5
17,WAS,72,34,38,12.0,112.5,8.9,75.4,1.6,0.9,4.1,3.3,2.1,11.4
19,CHA,72,33,39,12.0,107.9,8.0,75.2,1.8,1.1,4.1,2.8,2.7,10.5
19,SAS,72,33,39,12.0,112.6,8.3,72.3,1.7,1.2,3.4,3.7,2.3,11.0
21,CHI,72,31,41,12.0,114.1,8.3,76.4,1.6,1.1,4.4,3.0,2.9,12.2
21,NOP,72,31,41,12.0,108.3,8.7,76.2,2.1,1.1,4.2,2.5,2.6,10.6
21,SAC,72,31,41,12.0,112.6,8.1,72.3,1.8,1.3,3.9,3.6,2.4,11.9
24,TOR,72,27,45,12.0,106.4,8.2,74.0,2.2,1.4,3.6,2.8,2.1,9.7
25,MIN,72,23,49,12.0,111.4,8.2,73.5,2.1,1.3,3.6,3.6,2.3,11.3
26,CLE,72,22,50,12.0,113.3,7.6,72.1,1.8,1.1,4.8,3.0,2.4,11.4
26,OKC,72,22,50,12.0,107.9,8.8,74.5,1.8,1.3,4.8,3.4,2.1,11.6
28,ORL,72,21,51,12.0,113.9,8.8,74.2,1.6,1.2,4.4,3.0,3.2,11.1
29,DET,72,20,52,12.0,109.7,8.3,71.5,1.8,1.1,4.3,3.4,2.1,10.7
30,HOU,72,17,55,12.0,109.9,8.1,73.4,1.9,1.4,4.0,3.3,2.7,11.9
