RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,UTA,72,52,20,864.0,114.9,105.3,9.6,53.5,1.55,16.1,28.9,75.8,53.3,14.1,54.9,58.3,99.28,54.3,
2,PHX,72,51,21,864.0,115.7,109.0,6.7,65.7,2.26,20.5,24.2,73.6,49.2,12.6,56.2,59.5,98.83,54.4,
3,PHI,72,49,23,864.0,114.9,112.4,2.5,55.4,1.78,16.8,30.2,71.6,50.8,13.0,53.4,57.4,100.58,51.3,
4,BKN,72,48,24,864.0,121.1,111.7,9.4,64.4,2.06,20.3,29.6,72.3,52.7,13.9,59.3,62.5,100.42,56.5,
5,DEN,72,47,25,864.0,116.4,110.4,6.0,64.4,1.89,19.7,30.2,73.3,52.1,14.7,55.3,58.6,98.25,53.2,
5,LAC,72,47,25,864.0,115.1,109.8,5.3,58.9,1.73,18.1,27.1,74.5,51.4,14.4,56.2,59.6,99.25,53.2,
7,MIL,72,46,26,864.0,116.2,107.4,8.9,56.2,1.78,17.8,27.5,75.7,52.5,13.7,56.6,59.3,102.69,54.8,
8,DAL,72,42,30,864.0,118.2,110.4,7.8,56.2,1.95,17.6,27.5,72.1,50.3,12.4,56.2,59.3,98.56,53.0,
8,LAL,72,42,30,864.0,111.9,108.1,3.8,59.0,1.58,17.7,26.6,74.8,51.7,15.3,54.5,58.4,101.22,52.7,
8,POR,72,42,30,864.0,114.4,118.4,-3.9,52.7,1.86,15.8,27.8,71.8,49.2,11.5,51.9,56.0,98.17,46.4,
11,ATL,72,41,31,864.0,112.1,111.7,0.3,57.9,1.55,17.0,29.3,73.5,51.6,15.0,53.0,57.5,100.42,50.3,
11,NYK,72,41,31,864.0,112.9,108.3,4.6,54.2,1.69,16.8,27.4,73.5,51.0,13.5,54.0,57.3,97.92,51.4,
13,MIA,72,40,32,864.0,111.2,111.8,-0.5,68.1,1.9,19.8,25.8,71.6,49.1,14.5,54.4,57.7,97.03,50.5,
14,GSW,72,39,33,864.0,109.0,108.2,0.8,65.2,1.86,18.9,22.4,72.9,48.2,13.9,53.3,57.0,102.75,51.4,
15,MEM,72,38,34,864.0,108.3,112.4,-4.1,61.9,2.0,18.5,27.1,74.0,49.5,12.9,51.0,54.4,102.08,48.7,
16,BOS,72,36,36,864.0,111.4,109.9,1.5,54.1,1.68,16.4,30.2,72.3,50.2,13.4,52.4,55.3,97.69,49.7,
17,IND,72,34,38,864.0,110.5,114.4,-3.9,60.2,2.04,18.4,23.6,67.8,45.4,12.3,52.9,56.5,103.97,48.0,
17,WAS,72,34,38,864.0,111.5,111.5,0.0,59.6,1.68,18.0,23.7,73.0,48.6,14.5,54.1,58.0,106.58,50.1,
19,CHA,72,33,39,864.0,109.6,114.5,-4.9,67.7,1.67,18.9,30.1,70.1,49.9,16.1,52.6,55.9,100.0,47.6,
19,SAS,72,33,39,864.0,112.0,101.1,10.8,58.1,2.15,18.2,24.5,74.8,49.6,11.6,52.7,56.1,100.08,55.2,
21,CHI,72,31,41,864.0,110.1,108.7,1.4,65.4,1.77,19.7,26.7,78.5,52.8,15.6,54.8,57.3,100.22,50.6,
21,NOP,72,31,41,864.0,111.5,118.4,-6.9,57.7,1.66,17.3,32.6,76.1,53.9,14.6,52.1,55.6,101.72,47.3,
21,SAC,72,31,41,864.0,115.6,119.6,-4.0,60.8,1.86,18.8,27.2,68.8,47.9,14.0,56.1,59.2,101.33,48.5,
24,TOR,72,27,45,864.0,111.2,116.6,-5.4,60.3,1.72,17.2,26.6,67.9,46.6,13.6,52.1,56.4,100.39,46.9,
25,MIN,72,23,49,864.0,111.1,116.8,-5.8,63.0,1.88,18.1,28.6,69.6,48.3,13.5,52.0,55.6,102.28,46.2,
26,CLE,72,22,50,864.0,107.1,110.3,-3.2,63.1,1.64,18.3,30.1,74.3,51.5,15.7,51.2,54.4,98.72,48.6,
26,OKC,72,22,50,864.0,106.3,114.1,-7.8,57.2,1.46,16.8,23.9,72.5,48.4,15.4,52.7,55.9,101.89,45.4,
28,ORL,72,21,51,864.0,101.4,112.5,-11.0,57.4,1.64,15.8,25.2,74.4,48.2,13.0,47.5,51.4,99.75,44.2,
29,DET,72,20,52,864.0,104.7,112.3,-7.6,59.8,1.49,16.6,27.5,71.5,49.0,15.3,49.5,53.4,97.97,45.0,
30,HOU,72,17,55,864.0,107.2,116.8,-9.5,58.1,1.53,16.8,25.5,69.6,47.1,14.8,52.4,55.4,102.06,44.3,
