RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,UTA,72,52,20,864.0,116.8,106.1,10.8,58.2,1.79,18.6,25.8,77.0,52.4,14.2,59.1,60.9,100.06,54.5,
2,PHX,72,51,21,864.0,116.0,107.2,8.9,61.2,2.33,20.3,22.3,75.9,50.2,12.0,58.1,60.1,100.39,54.2,
3,PHI,72,49,23,864.0,115.3,102.2,13.1,56.1,1.96,17.9,26.8,76.1,52.3,12.5,55.3,58.3,102.14,57.0,
4,BKN,72,48,24,864.0,113.8,113.0,0.8,61.6,2.05,19.3,21.5,73.0,48.5,12.8,56.2,59.3,103.61,51.2,
5,DEN,72,47,25,864.0,125.5,111.3,14.2,61.2,2.58,21.3,30.0,78.6,54.8,11.8,60.4,62.6,98.94,56.1,
5,LAC,72,47,25,864.0,116.6,110.4,6.3,58.1,2.1,18.7,26.3,78.1,52.5,12.3,56.4,59.2,99.67,52.7,
7,MIL,72,46,26,864.0,116.7,108.0,8.7,59.7,2.17,19.6,24.2,78.0,51.8,12.4,58.0,59.6,105.06,54.3,
8,DAL,72,42,30,864.0,113.0,113.6,-0.5,55.6,2.13,17.4,21.9,73.7,48.4,10.9,54.0,57.2,99.69,50.2,
8,LAL,72,42,30,864.0,110.6,109.4,1.1,62.7,1.64,19.0,26.4,74.1,50.5,16.1,55.3,58.0,100.56,50.7,
8,POR,72,42,30,864.0,122.3,115.1,7.2,50.9,2.11,16.6,28.2,75.6,50.9,10.7,56.5,59.5,102.25,51.1,
11,ATL,72,41,31,864.0,114.4,112.8,1.6,58.8,2.1,18.4,27.6,74.3,51.3,12.2,54.3,57.4,101.0,50.6,
11,NYK,72,41,31,864.0,111.7,105.6,6.1,56.6,2.08,17.7,25.2,77.0,52.2,11.6,53.6,56.4,97.53,52.5,
13,MIA,72,40,32,864.0,112.8,110.7,2.1,67.5,2.15,20.3,21.9,75.5,48.9,13.0,56.5,59.4,99.81,52.0,
14,GSW,72,39,33,864.0,108.8,112.6,-3.7,69.3,1.92,20.5,21.6,73.2,47.6,14.7,55.6,58.0,104.83,49.0,
15,MEM,72,38,34,864.0,110.6,108.0,2.6,64.0,2.24,19.5,25.6,76.2,51.0,12.2,52.8,55.5,102.44,51.4,
16,BOS,72,36,36,864.0,109.7,112.2,-2.5,58.5,1.66,17.7,28.3,76.3,51.7,14.7,53.8,56.0,100.06,48.0,
17,IND,72,34,38,864.0,115.2,110.5,4.7,63.4,2.29,20.3,23.3,70.0,47.1,12.4,56.7,58.8,103.78,51.7,
17,WAS,72,34,38,864.0,109.5,115.5,-6.0,58.7,1.8,18.3,25.1,72.7,48.9,13.9,53.3,56.4,107.67,47.6,
19,CHA,72,33,39,864.0,113.1,114.9,-1.8,71.2,2.43,21.0,27.1,72.6,49.2,12.4,53.7,56.5,100.03,49.5,
19,SAS,72,33,39,864.0,108.9,114.6,-5.7,62.3,2.61,19.1,22.3,73.7,47.6,10.1,51.5,54.4,100.72,47.6,
21,CHI,72,31,41,864.0,108.5,112.7,-4.2,64.9,1.98,20.0,23.5,76.2,50.4,14.0,54.5,56.6,100.53,48.7,
21,NOP,72,31,41,864.0,117.6,111.9,5.7,65.2,2.03,20.7,30.2,75.0,53.5,14.6,57.3,59.6,102.08,54.1,
21,SAC,72,31,41,864.0,114.5,117.3,-2.8,61.5,2.12,19.7,24.0,72.5,48.5,12.8,56.6,59.0,103.78,48.7,
24,TOR,72,27,45,864.0,116.0,114.2,1.7,62.0,2.11,19.1,25.6,73.8,49.3,12.6,55.9,58.8,101.33,49.6,
25,MIN,72,23,49,864.0,105.6,117.0,-11.3,66.6,1.9,19.0,24.9,72.9,47.5,13.9,51.8,54.5,104.5,44.6,
26,CLE,72,22,50,864.0,104.2,115.2,-11.0,60.1,1.59,17.6,27.1,74.1,49.7,15.3,50.7,53.7,99.75,44.3,
26,OKC,72,22,50,864.0,102.0,114.9,-13.0,59.5,1.63,17.1,24.2,76.6,49.4,14.2,50.4,53.0,103.83,44.0,
28,ORL,72,21,51,864.0,101.3,114.2,-12.9,61.3,1.91,17.4,22.0,77.5,48.5,12.3,48.6,51.4,100.0,43.6,
29,DET,72,20,52,864.0,107.3,115.0,-7.7,66.7,2.04,19.5,26.4,76.3,49.6,13.5,51.9,54.4,100.53,46.0,
30,HOU,72,17,55,864.0,107.3,118.3,-11.0,59.2,1.67,17.6,22.1,72.9,46.7,14.2,53.7,56.2,104.89,43.5,
