RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,UTA,72,52,20,864.0,114.0,110.2,3.9,57.0,1.59,16.3,27.2,75.1,51.8,13.9,54.6,58.9,99.28,52.3,
2,PHX,72,51,21,864.0,113.6,111.5,2.1,61.9,1.99,18.4,26.0,75.9,51.0,12.8,54.3,58.1,95.11,52.0,
3,PHI,72,49,23,864.0,109.4,104.1,5.3,58.1,1.4,16.6,26.5,74.4,50.7,15.9,53.6,58.0,97.94,54.4,
4,BKN,72,48,24,864.0,116.8,112.9,3.9,61.1,1.94,18.0,23.9,72.9,49.4,12.6,55.8,60.7,97.0,53.0,
5,DEN,72,47,25,864.0,109.2,106.9,2.3,60.9,1.74,17.4,25.7,74.7,50.2,13.7,52.9,56.6,96.97,50.8,
5,LAC,72,47,25,864.0,114.9,110.4,4.5,58.0,1.8,17.4,25.2,73.5,50.1,13.1,55.4,59.6,95.11,51.7,
7,MIL,72,46,26,864.0,112.4,113.8,-1.4,55.7,1.56,16.6,27.6,72.7,50.5,14.5,54.2,57.6,99.78,50.4,
8,DAL,72,42,30,864.0,111.6,113.0,-1.3,54.7,1.83,16.6,24.9,75.1,49.9,12.2,53.6,57.2,96.33,49.9,
8,LAL,72,42,30,864.0,108.8,103.9,4.9,56.1,1.54,16.5,28.7,74.4,51.1,14.6,51.9,55.1,95.56,52.1,
8,POR,72,42,30,864.0,114.7,112.2,2.6,48.4,1.85,14.3,26.9,73.9,49.6,10.3,51.8,56.3,97.53,49.5,
11,ATL,72,41,31,864.0,114.2,111.9,2.3,59.0,1.74,16.6,28.7,75.4,52.1,13.1,53.0,58.1,96.11,51.2,
11,NYK,72,41,31,864.0,106.6,107.9,-1.3,50.6,1.31,14.2,24.8,72.1,48.7,14.2,50.1,55.1,94.83,48.4,
13,MIA,72,40,32,864.0,106.7,112.0,-5.3,67.1,1.58,18.6,24.3,71.1,48.6,16.1,53.1,57.3,94.64,48.7,
14,GSW,72,39,33,864.0,110.3,109.3,1.0,64.2,1.73,18.6,21.2,70.8,46.9,14.5,55.1,58.8,100.58,51.1,
15,MEM,72,38,34,864.0,112.3,113.0,-0.7,63.9,1.85,18.2,30.5,71.7,50.7,13.9,52.7,56.5,97.22,50.1,
16,BOS,72,36,36,864.0,113.6,111.5,2.2,54.9,1.62,16.1,28.9,71.7,50.5,13.6,53.7,57.6,98.28,51.5,
17,IND,72,34,38,864.0,109.9,110.1,-0.2,62.3,1.66,17.7,27.4,72.5,50.0,14.7,52.5,56.9,100.17,49.6,
17,WAS,72,34,38,864.0,111.9,112.5,-0.6,57.3,1.69,16.7,26.1,75.4,51.0,13.4,53.0,57.4,101.78,50.1,
19,CHA,72,33,39,864.0,108.2,107.9,0.3,62.3,1.57,17.3,26.4,75.2,50.5,15.1,52.3,56.3,96.78,49.2,
19,SAS,72,33,39,864.0,112.0,112.6,-0.6,55.0,1.84,16.3,25.0,72.3,48.9,11.8,51.1,56.5,97.75,50.2,
21,CHI,72,31,41,864.0,110.0,114.1,-4.1,59.2,1.57,17.5,28.8,76.4,52.4,15.3,53.4,57.1,97.69,48.2,
21,NOP,72,31,41,864.0,109.5,108.3,1.2,61.1,1.55,16.8,30.5,76.2,52.8,14.9,51.0,55.5,98.92,51.7,
21,SAC,72,31,41,864.0,108.3,112.6,-4.3,57.3,1.66,16.8,22.7,72.3,47.6,13.5,53.2,56.6,99.44,47.3,
24,TOR,72,27,45,864.0,110.3,106.4,3.9,60.4,1.73,17.2,24.3,74.0,48.4,13.4,52.6,56.6,98.39,50.3,
25,MIN,72,23,49,864.0,113.3,111.4,1.9,59.5,1.83,17.4,26.3,73.5,49.2,13.0,53.0,57.2,100.08,50.6,
26,CLE,72,22,50,864.0,106.1,113.3,-7.2,62.5,1.43,17.0,27.1,72.1,49.3,16.3,51.6,55.7,95.89,46.9,
26,OKC,72,22,50,864.0,104.0,107.9,-3.8,58.3,1.26,15.8,26.2,74.5,50.2,16.8,51.4,55.0,100.72,47.3,
28,ORL,72,21,51,864.0,107.3,113.9,-6.6,54.8,1.54,15.4,28.1,74.2,50.9,13.6,49.4,54.1,98.72,46.6,
29,DET,72,20,52,864.0,109.2,109.7,-0.5,60.3,1.48,17.1,26.7,71.5,49.8,15.6,53.2,57.1,96.06,49.0,
30,HOU,72,17,55,864.0,106.0,109.9,-3.9,63.6,1.62,17.1,24.3,73.4,47.3,14.4,50.0,54.2,100.22,45.9,
