RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,PHX,82,64,18,12.0,108.1,8.9,71.9,2.1,1.1,3.8,3.2,2.8,11.5
2,MEM,82,56,26,12.0,112.5,8.4,72.5,2.4,1.5,3.9,3.0,3.3,13.1
3,GSW,82,53,29,12.0,104.6,9.2,75.8,2.2,1.2,4.3,3.0,3.0,10.6
3,MIA,82,53,29,12.0,107.2,8.4,75.1,2.0,0.7,4.1,2.8,3.5,9.9
5,DAL,82,52,30,12.0,111.9,8.2,74.6,1.7,1.1,3.7,3.2,2.8,11.8
6,BOS,82,51,31,12.0,108.7,8.5,71.1,1.8,1.5,4.1,3.0,3.1,10.5
6,MIL,82,51,31,12.0,119.2,8.6,72.6,1.9,1.1,3.8,3.6,2.9,11.6
6,PHI,82,51,31,12.0,109.8,8.4,71.3,1.7,1.4,3.9,3.3,4.0,12.1
9,UTA,82,49,33,12.0,110.8,8.8,75.0,2.0,1.1,5.0,2.8,3.0,12.0
10,DEN,82,48,34,12.0,108.1,8.7,75.1,2.1,1.0,4.8,2.6,3.2,12.2
10,TOR,82,48,34,12.0,108.5,8.1,73.1,2.0,1.0,3.3,3.1,2.9,11.1
12,CHI,82,46,36,12.0,114.7,8.3,75.0,1.9,1.2,4.5,3.2,3.4,11.9
12,MIN,82,46,36,12.0,112.5,8.0,70.0,2.0,1.4,3.7,3.7,3.5,11.5
14,BKN,82,44,38,12.0,113.3,8.3,69.8,1.9,1.4,4.4,3.6,3.2,11.1
14,CLE,82,44,38,12.0,107.7,8.7,71.9,1.6,1.1,4.3,3.0,2.9,11.2
16,ATL,82,43,39,12.0,113.6,8.4,72.2,1.7,1.1,3.8,3.1,3.2,11.2
16,CHA,82,43,39,12.0,113.0,8.5,71.8,2.1,1.2,4.0,3.3,3.0,11.6
18,LAC,82,42,40,12.0,109.0,8.6,70.8,1.9,1.0,4.5,3.3,3.6,12.8
19,NYK,82,37,45,12.0,110.8,8.1,72.0,1.9,1.4,3.9,3.1,2.9,10.5
20,NOP,82,36,46,12.0,112.9,8.2,72.1,2.1,1.2,4.2,3.5,3.0,11.8
21,WAS,82,35,47,12.0,113.8,8.3,72.7,1.4,1.2,3.5,3.2,1.9,11.7
22,SAS,82,34,48,12.0,112.7,8.3,73.4,1.9,1.1,4.1,3.5,2.5,12.5
23,LAL,82,33,49,12.0,114.7,8.3,71.5,2.0,1.4,4.3,3.3,3.9,13.0
24,SAC,82,30,52,12.0,116.6,7.8,67.4,2.1,1.1,4.6,4.4,3.5,13.0
25,POR,82,27,55,12.0,116.3,7.8,73.1,2.2,1.0,4.2,3.0,3.5,12.3
26,IND,82,25,57,12.0,113.3,8.0,73.2,1.9,1.7,5.0,3.0,3.4,12.7
27,OKC,82,24,58,12.0,110.7,9.1,74.2,2.0,0.9,3.9,3.0,2.7,11.1
28,DET,82,23,59,12.0,113.5,7.8,71.4,2.0,1.2,4.1,3.3,2.7,12.1
29,ORL,82,22,60,12.0,112.6,8.6,74.2,1.8,1.0,4.2,3.3,3.1,10.3
30,HOU,82,20,62,12.0,115.8,8.1,72.3,1.8,1.2,5.2,3.7,3.7,12.9
