RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,PHX,82,64,18,12.0,104.7,8.9,72.4,2.3,1.3,3.8,3.6,3.1,10.9
2,MEM,82,56,26,12.0,105.3,9.2,72.5,2.4,1.7,3.3,3.6,3.4,11.1
3,GSW,82,53,29,12.0,107.8,8.9,73.8,2.2,1.0,4.5,3.1,3.7,11.6
3,MIA,82,53,29,12.0,113.0,7.8,70.9,1.9,0.9,4.7,3.9,2.9,11.0
5,DAL,82,52,30,12.0,110.0,8.3,72.1,1.7,1.0,3.3,3.2,3.3,11.9
6,BOS,82,51,31,12.0,104.5,8.9,72.0,1.8,1.4,3.7,3.2,3.0,10.7
6,MIL,82,51,31,12.0,109.9,8.9,72.2,2.0,1.0,3.8,3.4,2.6,10.5
6,PHI,82,51,31,12.0,113.0,8.3,71.4,2.0,1.2,4.0,3.2,3.8,11.9
9,UTA,82,49,33,12.0,107.7,9.2,71.9,1.8,1.4,3.7,3.5,2.8,10.7
10,DEN,82,48,34,12.0,112.0,8.8,74.4,1.5,1.0,4.1,2.9,2.9,12.8
10,TOR,82,48,34,12.0,110.8,7.6,70.6,2.7,1.2,3.9,3.5,3.2,12.3
12,CHI,82,46,36,12.0,112.5,8.2,70.8,1.8,1.1,3.2,3.0,3.1,12.2
12,MIN,82,46,36,12.0,112.7,7.9,69.9,2.3,1.3,4.5,3.6,4.1,11.9
14,BKN,82,44,38,12.0,111.4,8.6,69.6,1.8,1.3,3.8,3.7,3.8,12.8
14,CLE,82,44,38,12.0,108.5,8.8,72.8,1.8,1.1,4.3,3.4,3.2,12.5
16,ATL,82,43,39,12.0,114.8,8.7,72.7,1.8,1.2,3.7,3.3,3.2,12.3
16,CHA,82,43,39,12.0,110.7,8.6,71.9,2.3,1.3,4.1,3.5,3.5,11.9
18,LAC,82,42,40,12.0,108.2,8.8,70.9,1.9,1.3,4.3,3.9,3.3,12.0
19,NYK,82,37,45,12.0,108.2,9.0,74.6,1.9,1.1,4.4,3.0,3.0,11.8
20,NOP,82,36,46,12.0,108.9,8.5,73.1,2.1,1.1,4.0,3.4,2.4,11.1
21,WAS,82,35,47,12.0,116.6,8.2,74.1,1.7,1.2,4.2,3.0,2.9,12.9
22,SAS,82,34,48,12.0,115.1,8.5,69.6,1.9,1.2,4.1,3.8,3.7,13.1
23,LAL,82,33,49,12.0,117.7,8.2,68.3,1.9,1.2,4.5,3.8,4.3,14.5
24,SAC,82,30,52,12.0,114.3,8.5,70.3,1.7,1.2,4.7,4.0,3.6,13.1
25,POR,82,27,55,12.0,116.5,8.0,71.6,2.1,1.1,4.4,3.2,3.3,12.2
26,IND,82,25,57,12.0,118.8,7.6,70.6,2.0,1.1,4.0,3.8,3.5,14.2
27,OKC,82,24,58,12.0,112.2,8.9,73.1,1.9,1.3,4.9,3.4,2.6,12.2
28,DET,82,23,59,12.0,115.0,8.0,71.6,2.0,1.3,4.0,3.0,2.8,12.5
29,ORL,82,22,60,12.0,111.4,8.8,72.5,1.7,1.3,4.3,3.4,3.2,12.1
30,HOU,82,20,62,12.0,119.7,8.0,70.9,1.7,1.1,5.9,3.7,4.5,13.7
