PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Kessler Edwards,18:39,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,1,0,-19
Naji Marshall,38:18,17,25,68.0,1,3,33.3,3,5,60.0,2,5,7,1,1,0,0,1,38,-14
Kai Jones,24:02,3,6,50.0,1,2,50.0,2,2,100,2,6,8,2,1,1,0,4,9,-9
Spencer Dinwiddie,35:19,4,11,36.4,2,5,40.0,3,4,75.0,0,4,4,7,0,2,4,0,13,-14
Klay Thompson,21:46,2,11,18.2,0,3,0.0,2,2,100,1,2,3,1,0,0,1,1,6,-15
Max Christie,31:11,2,5,40.0,0,2,0.0,2,2,100,0,1,1,2,1,0,4,0,6,10
Dwight Powell,20:34,1,2,50.0,0,0,0.0,2,2,100,0,3,3,3,2,0,2,4,4,-2
Brandon Williams,27:35,7,11,63.6,1,2,50.0,7,8,87.5,0,1,1,3,2,0,3,2,22,-13
Jaden Hardy,22:36,7,9,77.8,1,2,50.0,0,0,0.0,0,2,2,0,2,0,2,3,15,1
Daniel Gafford,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Dereck Lively I,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Caleb Martin,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,43,80,53.8,6,19,31.6,21,25,84.0,5,28,33,19,9,3,16,16,113,-15
OG Anunoby,38:11,15,24,62.5,3,6,50.0,2,2,100,2,3,5,1,2,1,1,2,35,24
Josh Hart,33:26,6,9,66.7,2,2,100,2,2,100,1,11,12,11,2,0,2,2,16,10
Karl-Anthony Towns,34:29,10,19,52.6,2,7,28.6,4,8,50.0,2,10,12,11,1,0,3,3,26,23
Mikal Bridges,33:46,9,14,64.3,2,4,50.0,1,1,100,0,1,1,1,0,1,1,2,21,17
Cameron Payne,29:45,1,3,33.3,0,2,0.0,0,0,0.0,0,3,3,5,2,0,2,3,2,19
Precious Achiuwa,19:31,5,7,71.4,0,0,0.0,1,1,100,0,2,2,2,2,1,2,0,11,-1
Landry Shamet,19:09,4,7,57.1,1,4,25.0,2,4,50.0,0,0,0,0,0,0,0,1,11,16
Tyler Kolek,19:22,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,9,0,1,0,2,2,-1
Anton Watson,4:02,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-8
Delon Wright,3:37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-11
Kevin McCullar Jr,3:09,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-9
Pacome Dadiet,1:33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4
,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,53,89,59.6,10,26,38.5,12,18,66.7,5,31,36,40,9,4,14,18,128,15
