RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,73,56,17,876.0,114.1,105.0,9.1,59.9,1.72,18.4,24.4,78.0,52.8,14.6,56.9,59.6,106.08,55.4,
2,TOR,72,53,19,864.0,109.2,104.9,4.2,63.0,1.77,18.1,26.2,70.5,48.6,14.1,51.8,55.7,102.61,51.9,
3,LAL,71,52,19,852.0,116.1,109.5,6.7,58.7,1.59,18.2,32.6,73.1,52.9,16.1,56.2,59.0,101.63,53.8,
4,LAC,72,49,23,864.0,115.5,105.3,10.3,57.3,1.45,17.1,29.1,74.3,52.9,16.2,55.2,59.8,104.64,55.3,
5,BOS,72,48,24,864.0,111.5,104.0,7.5,53.0,1.54,15.4,28.4,75.9,51.8,13.6,51.1,55.8,100.97,53.4,
6,DEN,73,46,27,876.0,111.2,107.4,3.8,63.8,1.75,19.4,30.5,73.2,52.2,15.7,53.8,56.9,99.42,52.9,
7,IND,73,45,28,876.0,112.5,103.9,8.6,63.9,2.11,19.8,24.6,71.1,49.0,13.0,55.0,57.9,100.52,54.9,
8,HOU,72,44,28,864.0,114.2,112.8,1.4,52.3,1.46,15.5,25.2,70.9,47.6,14.0,54.7,58.9,105.36,48.3,
8,MIA,73,44,29,876.0,112.3,109.8,2.5,67.2,1.74,19.0,25.2,73.9,50.3,15.1,54.7,59.0,101.67,52.5,
8,OKC,72,44,28,864.0,113.7,109.3,4.4,56.7,1.76,17.1,27.2,73.0,50.5,13.2,53.7,57.9,99.58,53.0,
8,UTA,72,44,28,864.0,108.4,107.7,0.6,55.1,1.38,16.2,26.2,77.7,52.2,15.8,53.6,56.7,100.36,49.9,
12,DAL,75,43,32,900.0,118.4,116.3,2.1,58.9,1.99,17.7,31.4,71.9,51.3,12.5,54.2,57.8,100.05,49.7,
12,PHI,73,43,30,876.0,110.4,110.2,0.2,66.0,1.89,19.2,28.1,73.7,50.9,14.3,53.3,56.5,99.53,51.2,
14,BKN,72,35,37,864.0,109.3,107.8,1.4,58.3,1.51,17.1,29.3,71.8,51.2,15.6,52.7,55.7,102.39,51.1,
14,POR,74,35,39,888.0,112.1,114.8,-2.7,49.5,1.72,15.1,26.1,71.7,49.2,11.6,51.7,56.2,101.81,48.8,
16,MEM,73,34,39,876.0,104.4,110.4,-6.0,65.1,1.76,18.5,25.9,70.4,48.2,14.5,50.1,53.8,104.96,48.4,
16,PHX,73,34,39,876.0,109.4,109.3,0.2,66.5,1.79,19.3,24.9,71.9,48.8,14.9,52.5,57.0,101.7,50.9,
18,ORL,73,33,40,876.0,111.5,108.2,3.3,59.4,1.94,17.6,29.0,73.9,50.4,12.6,51.0,54.8,99.1,51.7,
19,SAS,71,32,39,852.0,108.6,109.5,-0.9,61.0,1.83,18.5,21.6,74.0,48.5,13.6,53.4,56.8,103.52,50.9,
20,SAC,72,31,41,864.0,111.3,113.0,-1.7,57.9,1.56,17.4,27.5,73.3,50.3,15.2,54.3,57.7,99.61,48.4,
21,NOP,72,30,42,864.0,110.3,114.5,-4.1,65.2,1.68,18.5,27.9,70.4,48.6,15.3,53.4,56.4,105.67,47.1,
22,WAS,72,25,47,864.0,111.8,123.1,-11.2,60.1,1.9,17.8,25.8,69.0,46.2,12.9,52.9,56.9,105.11,44.8,
23,CHA,65,23,42,780.0,106.1,113.1,-7.0,65.7,1.69,18.2,28.2,69.2,48.1,15.1,50.6,53.9,97.54,46.1,
24,CHI,65,22,43,780.0,108.5,109.1,-0.6,60.9,1.72,17.8,25.7,71.7,47.6,14.2,52.4,55.3,101.57,47.4,
25,NYK,66,21,45,792.0,106.2,117.6,-11.4,56.1,1.45,16.2,30.0,71.4,49.7,15.4,50.8,53.8,99.64,43.8,
26,ATL,67,20,47,804.0,111.9,115.3,-3.4,57.7,1.47,16.9,28.7,71.6,50.4,15.8,53.3,57.6,103.88,48.1,
26,DET,66,20,46,792.0,111.4,113.6,-2.2,60.6,1.6,17.7,29.0,73.3,50.9,15.3,54.0,57.3,99.12,47.6,
28,CLE,65,19,46,780.0,104.9,118.0,-13.1,58.7,1.32,16.8,29.2,72.0,50.2,17.4,51.7,55.0,99.88,43.4,
28,MIN,64,19,45,768.0,110.9,110.0,0.9,62.0,1.79,17.8,26.6,73.3,49.0,13.7,52.6,56.1,105.63,49.7,
30,GSW,65,15,50,780.0,107.7,115.3,-7.6,66.3,1.84,18.9,27.7,70.9,49.0,14.4,50.8,55.1,100.95,48.0,
