RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,73,56,17,876.0,109.7,98.0,11.7,62.1,2.03,19.0,21.1,77.8,50.8,12.7,54.4,56.5,106.08,56.9,
2,TOR,72,53,19,864.0,109.8,102.4,7.5,61.0,1.82,18.5,22.1,74.6,49.5,13.7,54.7,57.5,102.64,52.7,
3,LAL,71,52,19,852.0,111.9,103.5,8.5,62.2,1.88,19.3,29.2,73.0,51.8,14.5,54.1,56.9,104.0,55.7,
4,LAC,72,49,23,864.0,112.7,108.5,4.2,58.5,1.97,18.1,25.8,76.2,51.3,12.6,53.5,56.7,102.42,52.3,
5,BOS,72,48,24,864.0,107.1,103.8,3.3,56.4,1.95,16.9,24.2,72.6,48.1,11.8,51.0,53.8,100.31,51.2,
6,DEN,73,46,27,876.0,111.2,113.8,-2.6,64.2,2.14,19.8,26.1,73.0,49.1,13.0,53.7,56.1,98.49,49.0,
7,IND,73,45,28,876.0,105.2,105.5,-0.3,60.7,2.1,19.2,21.0,75.1,48.3,12.5,52.4,54.3,100.96,49.8,
8,HOU,72,44,28,864.0,112.3,109.9,2.4,53.7,1.52,16.3,23.9,73.5,48.6,14.2,54.6,58.0,105.36,49.0,
8,MIA,73,44,29,876.0,119.0,106.2,12.7,67.2,2.3,21.1,25.5,79.1,53.5,12.9,58.4,61.4,98.93,57.0,
8,OKC,72,44,28,864.0,107.5,107.8,-0.3,54.9,1.58,16.8,24.1,73.3,49.3,14.1,52.9,56.1,100.0,50.7,
8,UTA,72,44,28,864.0,112.5,108.5,4.0,57.6,1.63,18.0,23.7,76.6,51.0,14.8,56.6,59.5,98.78,52.0,
12,DAL,75,43,32,900.0,116.9,109.7,7.1,58.9,2.07,18.1,26.1,75.8,51.4,12.1,55.3,58.5,102.72,53.0,
12,PHI,73,43,30,876.0,112.6,102.8,9.8,61.0,1.92,18.9,27.8,77.7,52.9,13.8,54.3,57.1,102.22,56.5,
14,BKN,72,35,37,864.0,111.2,107.2,3.9,64.7,1.98,19.6,23.0,76.6,50.4,13.7,55.5,57.6,103.67,52.1,
14,POR,74,35,39,888.0,113.8,112.9,0.9,49.6,1.67,16.2,26.5,73.3,50.7,13.0,55.2,57.8,103.35,50.3,
16,MEM,73,34,39,876.0,107.7,105.7,2.0,64.8,1.81,19.4,25.6,75.2,51.0,15.0,53.4,56.0,104.71,51.1,
16,PHX,73,34,39,876.0,111.0,111.1,-0.2,66.7,2.1,20.6,22.7,73.2,48.4,13.7,55.2,58.1,103.01,50.9,
18,ORL,73,33,40,876.0,103.3,110.5,-7.1,61.6,1.96,17.8,26.8,76.9,49.9,12.6,48.6,51.6,100.66,46.4,
19,SAS,71,32,39,852.0,110.5,110.3,0.1,59.3,2.26,18.6,22.0,78.9,50.7,11.1,53.1,56.3,100.73,50.4,
20,SAC,72,31,41,864.0,109.3,109.8,-0.4,58.5,1.95,18.5,24.1,71.6,47.7,13.0,54.0,55.9,99.94,48.8,
21,NOP,72,30,42,864.0,109.9,113.2,-3.3,64.5,1.61,19.5,27.2,73.6,51.1,16.9,55.7,58.0,106.72,50.0,
22,WAS,72,25,47,864.0,108.5,114.5,-5.9,60.3,1.8,17.9,24.7,74.6,48.4,13.7,52.0,55.6,105.61,46.4,
23,CHA,65,23,42,780.0,108.3,112.4,-4.2,65.8,1.75,19.2,28.6,74.3,50.7,15.6,52.8,55.3,98.52,47.0,
24,CHI,65,22,43,780.0,102.2,106.3,-4.1,59.4,1.68,17.7,24.2,73.0,47.3,14.3,50.9,53.1,101.78,46.6,
25,NYK,66,21,45,792.0,104.7,107.7,-3.0,52.9,1.69,16.3,29.6,76.8,53.0,13.3,49.8,51.7,101.61,47.8,
26,ATL,67,20,47,804.0,101.8,119.1,-17.2,65.2,1.73,18.4,23.7,71.9,46.9,14.6,50.2,53.3,104.51,42.6,
26,DET,66,20,46,792.0,109.3,116.3,-6.9,61.0,1.75,18.2,26.9,72.1,48.8,14.4,52.7,56.0,100.3,46.2,
28,CLE,65,19,46,780.0,106.0,113.0,-7.0,55.1,1.45,16.6,29.8,75.9,52.4,15.8,51.2,54.0,101.05,45.2,
28,MIN,64,19,45,768.0,107.2,112.7,-5.4,57.5,1.59,17.0,25.6,74.7,49.2,14.5,52.5,55.2,105.66,46.7,
30,GSW,65,15,50,780.0,99.9,116.2,-16.3,71.5,1.82,19.1,23.2,73.2,47.1,14.6,49.0,52.4,102.31,42.7,
