RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,BOS,82,64,18,3966.0,122.2,110.6,11.7,61.3,2.25,19.3,28.7,72.6,51.5,12.1,57.8,60.9,97.98,55.5,
2,DEN,82,57,25,3941.0,117.8,112.3,5.5,66.9,2.33,20.9,30.0,71.8,51.5,13.0,56.2,58.9,97.43,53.3,
2,OKC,82,57,25,3961.0,118.3,111.0,7.3,60.9,2.14,19.4,25.0,69.8,48.4,12.5,57.3,60.8,100.85,53.8,
4,MIN,82,56,26,3961.0,114.6,108.4,6.3,64.6,1.88,19.3,27.5,72.5,50.8,14.4,55.9,59.4,97.79,54.3,
5,LAC,82,51,31,3941.0,117.9,114.6,3.4,60.4,1.95,18.7,28.3,70.5,50.2,13.4,56.1,59.9,97.93,52.0,
6,DAL,82,50,32,3941.0,117.0,114.9,2.1,59.6,2.05,18.5,25.7,71.1,48.5,12.4,56.2,59.2,100.6,50.6,
6,NYK,82,50,32,3946.0,117.3,112.4,4.9,59.0,1.84,17.8,33.3,72.9,52.7,13.8,54.0,57.4,95.96,51.5,
8,MIL,82,49,33,3961.0,117.6,115.0,2.6,61.5,2.05,19.0,25.5,73.1,49.9,12.8,56.8,60.1,100.51,51.1,
8,NOP,82,49,33,3941.0,116.5,111.9,4.6,63.4,2.07,19.4,27.8,72.5,50.5,13.2,55.8,59.1,98.7,52.4,
8,PHX,82,49,33,3956.0,116.8,113.7,3.1,63.7,1.82,19.4,29.2,71.4,51.4,15.0,56.5,60.3,99.0,52.7,
11,CLE,82,48,34,3961.0,114.7,112.1,2.5,67.1,2.07,20.2,27.4,72.1,50.1,13.8,55.7,58.6,97.62,51.9,
12,IND,82,47,35,3941.0,120.5,117.6,2.9,65.4,2.38,21.0,28.4,70.0,49.2,12.6,57.8,60.6,102.16,51.7,
12,LAL,82,47,35,3971.0,115.4,114.8,0.6,65.4,2.04,20.1,24.4,72.5,49.6,13.7,56.6,60.1,101.38,51.8,
12,ORL,82,47,35,3956.0,112.9,110.8,2.2,61.0,1.68,18.1,29.7,73.7,51.5,15.0,54.1,57.7,97.37,51.3,
12,PHI,82,47,35,3956.0,116.2,113.0,3.1,60.0,2.07,18.0,29.2,70.1,49.3,12.2,53.2,57.4,98.17,50.6,
16,GSW,82,46,36,3966.0,116.9,114.5,2.4,67.1,2.05,20.1,31.5,72.5,52.1,14.2,55.7,58.6,99.91,51.2,
16,MIA,82,46,36,3951.0,113.3,111.5,1.8,64.8,2.04,19.1,26.1,73.4,49.8,13.0,53.8,57.8,96.88,50.9,
16,SAC,82,46,36,3971.0,116.2,114.4,1.8,65.4,2.16,19.9,28.5,74.4,50.7,13.1,55.6,58.2,99.46,50.0,
19,HOU,82,41,41,3971.0,113.7,112.8,0.9,59.4,1.95,17.7,29.4,72.2,50.4,12.7,52.9,56.5,99.59,50.1,
20,CHI,82,39,43,3996.0,114.0,115.7,-1.7,59.4,2.04,18.2,29.1,71.7,50.1,12.4,53.4,56.8,96.94,49.3,
21,ATL,82,36,46,3971.0,116.4,118.4,-2.0,61.8,1.96,18.4,30.8,71.7,50.4,13.3,53.9,57.6,100.84,48.2,
22,BKN,82,32,50,3961.0,112.4,115.4,-2.9,63.0,1.95,18.6,28.9,71.5,49.7,13.4,53.1,56.1,97.56,48.3,
23,UTA,82,31,51,3961.0,114.5,119.6,-5.1,64.8,1.74,18.9,32.5,71.7,52.1,15.5,53.9,57.9,100.26,47.8,
24,MEM,82,27,55,3956.0,106.8,113.7,-6.9,64.4,1.64,17.9,28.7,70.6,48.8,15.2,50.9,54.3,98.68,45.8,
25,TOR,82,25,57,3961.0,111.8,118.1,-6.3,67.4,2.04,19.9,28.1,69.4,48.4,13.9,53.5,56.6,99.91,47.4,
26,SAS,82,22,60,3966.0,109.3,115.6,-6.4,71.2,1.97,20.5,26.9,72.1,49.2,14.8,53.2,56.3,101.8,48.0,
27,CHA,82,21,61,3946.0,108.6,119.2,-10.6,62.0,1.8,18.4,25.3,70.9,47.5,14.0,52.9,56.0,97.81,44.7,
27,POR,82,21,61,3976.0,107.6,116.6,-9.0,58.7,1.52,16.7,32.0,69.7,49.8,15.4,50.3,53.9,97.88,43.4,
29,WAS,82,15,67,3946.0,110.2,118.9,-8.7,65.0,2.0,19.5,24.0,68.3,45.9,13.6,53.8,56.7,103.07,45.4,
30,DET,82,14,68,3951.0,109.0,118.0,-9.0,62.3,1.67,18.2,27.7,73.0,49.9,15.1,52.6,56.2,100.45,44.9,
