RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,BOS,82,64,18,12.0,106.6,9.8,74.5,1.6,1.7,2.8,3.1,3.4,12.2
2,DEN,82,57,25,12.0,107.6,9.2,72.5,1.8,1.4,3.4,3.4,3.4,12.2
2,OKC,82,57,25,12.0,111.8,8.6,70.9,2.0,1.7,3.3,3.5,3.3,12.2
4,MIN,82,56,26,12.0,110.4,8.8,73.2,1.9,1.4,4.6,3.1,3.3,12.1
5,LAC,82,51,31,12.0,109.1,9.1,73.8,2.0,1.2,3.3,3.0,3.2,11.2
6,DAL,82,50,32,12.0,114.6,8.8,74.4,1.7,1.1,3.9,3.0,3.9,12.7
6,NYK,82,50,32,12.0,111.2,8.5,74.0,2.1,1.0,3.2,3.0,3.7,12.0
8,MIL,82,49,33,12.0,112.6,9.5,74.8,1.6,1.4,3.3,3.1,3.8,12.7
8,NOP,82,49,33,12.0,107.5,9.3,75.6,2.2,1.2,3.4,2.8,3.6,11.4
8,PHX,82,49,33,12.0,114.1,8.5,74.2,2.1,1.3,4.1,3.1,3.9,12.8
11,CLE,82,48,34,12.0,113.3,8.5,73.3,2.1,1.1,4.4,3.1,3.9,12.2
12,IND,82,47,35,12.0,118.0,8.1,72.5,1.8,1.1,3.9,3.4,3.9,15.4
12,LAL,82,47,35,12.0,116.3,8.8,73.7,1.9,1.4,4.1,3.7,4.7,13.3
12,ORL,82,47,35,12.0,110.9,8.4,75.9,2.2,1.2,4.2,2.8,3.8,12.1
12,PHI,82,47,35,12.0,110.2,8.6,73.5,2.1,1.6,3.5,3.0,4.7,13.3
16,GSW,82,46,36,12.0,110.8,9.6,76.4,1.5,1.1,4.5,3.0,3.6,12.0
16,MIA,82,46,36,12.0,109.2,8.4,74.1,2.0,1.0,3.8,3.3,3.2,12.0
16,SAC,82,46,36,12.0,114.2,8.8,75.5,2.0,1.1,3.8,2.8,2.8,12.4
19,HOU,82,41,41,12.0,109.4,9.1,75.0,1.8,0.9,3.6,2.8,2.4,12.1
20,CHI,82,39,43,12.0,117.1,8.6,73.5,1.9,1.0,4.0,3.6,3.9,11.7
21,ATL,82,36,46,12.0,117.7,8.5,71.9,1.9,1.1,3.5,3.5,4.1,14.5
22,BKN,82,32,50,12.0,112.1,8.8,74.1,1.7,1.2,3.3,3.1,4.3,11.8
23,UTA,82,31,51,12.0,123.8,8.4,71.0,1.8,1.4,5.0,3.5,5.3,13.7
24,MEM,82,27,55,12.0,112.5,8.4,73.5,1.9,1.5,4.3,3.2,3.8,11.7
25,TOR,82,25,57,12.0,116.2,8.2,70.7,2.1,1.2,4.2,4.0,3.6,13.7
26,SAS,82,22,60,12.0,109.5,9.5,75.6,1.9,1.6,5.1,3.1,4.2,13.8
27,CHA,82,21,61,12.0,116.9,8.3,73.7,1.7,1.1,4.1,2.9,3.8,13.6
27,POR,82,21,61,12.0,119.0,7.5,72.0,1.9,1.0,4.7,3.3,4.5,14.4
29,WAS,82,15,67,12.0,117.3,8.5,69.3,1.7,1.4,4.3,4.1,4.4,14.9
30,DET,82,14,68,12.0,115.5,8.6,75.9,1.7,1.2,5.0,3.3,3.5,14.3
