RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,BOS,82,64,18,984.0,128.2,113.6,14.5,59.6,2.36,19.8,31.4,70.6,52.0,12.0,60.4,63.0,98.17,56.4,
2,DEN,82,57,25,984.0,116.0,118.2,-2.2,65.6,2.23,20.3,30.7,71.8,51.0,13.1,54.7,57.8,99.24,49.3,
2,OKC,82,57,25,984.0,114.8,107.0,7.8,62.1,1.98,19.2,24.2,69.4,48.2,13.3,55.8,59.9,102.37,54.6,
4,MIN,82,56,26,984.0,114.6,109.4,5.2,66.9,1.87,19.7,26.5,71.7,49.7,14.7,56.2,59.9,98.63,53.9,
5,LAC,82,51,31,984.0,120.1,114.1,6.0,61.8,2.07,19.3,26.2,69.9,49.3,12.9,57.8,61.6,97.88,53.7,
6,DAL,82,50,32,984.0,117.5,115.4,2.0,60.3,1.88,18.8,25.9,68.3,47.4,13.7,57.1,60.2,100.88,50.1,
6,NYK,82,50,32,984.0,116.4,114.5,1.9,59.1,1.77,17.7,35.0,73.1,53.5,14.3,53.0,56.6,97.54,49.6,
8,MIL,82,49,33,984.0,118.1,114.5,3.6,62.2,2.13,19.5,25.2,71.7,49.2,12.7,57.1,60.2,99.93,51.3,
8,NOP,82,49,33,984.0,117.8,108.5,9.3,64.2,2.09,19.7,26.6,73.9,50.9,13.2,57.0,60.2,99.9,54.6,
8,PHX,82,49,33,984.0,119.5,112.3,7.1,64.0,1.8,19.6,31.8,71.7,53.3,15.4,57.3,61.3,100.66,55.1,
11,CLE,82,48,34,984.0,113.4,108.8,4.6,67.5,1.99,19.7,27.3,73.2,50.6,14.0,54.7,57.6,98.17,52.2,
12,IND,82,47,35,984.0,120.9,120.3,0.6,65.9,2.22,20.9,28.3,67.6,48.0,13.4,57.9,61.1,102.66,50.7,
12,LAL,82,47,35,984.0,119.8,117.0,2.7,66.8,2.23,21.3,25.1,72.4,50.1,13.4,59.3,62.3,102.34,52.7,
12,ORL,82,47,35,984.0,116.9,108.7,8.2,61.9,1.8,18.9,31.4,74.6,52.9,14.9,55.6,59.1,98.68,53.9,
12,PHI,82,47,35,984.0,119.6,117.6,1.9,58.7,2.14,17.9,30.7,66.9,48.2,11.7,53.8,58.2,98.2,49.5,
16,GSW,82,46,36,984.0,114.2,114.8,-0.6,67.9,1.96,20.5,28.8,72.5,50.9,14.9,55.8,58.4,100.41,50.3,
16,MIA,82,46,36,984.0,116.9,111.5,5.4,66.1,2.31,20.2,27.2,73.7,50.5,12.4,55.6,58.9,98.05,52.6,
16,SAC,82,46,36,984.0,119.0,114.4,4.6,65.7,2.37,20.7,26.9,74.3,50.1,12.4,57.6,60.0,100.83,50.9,
19,HOU,82,41,41,984.0,111.1,112.8,-1.7,59.2,1.79,17.5,28.3,71.6,49.3,13.4,52.7,56.3,99.54,48.9,
20,CHI,82,39,43,984.0,114.0,111.6,2.4,59.0,1.86,18.0,30.7,72.9,51.6,13.6,53.8,57.1,96.37,51.6,
21,ATL,82,36,46,984.0,118.8,115.5,3.3,63.7,2.01,19.1,32.6,70.8,51.4,13.6,54.8,58.6,101.88,51.0,
22,BKN,82,32,50,984.0,111.0,117.6,-6.6,65.3,1.8,19.0,30.2,72.3,50.4,15.0,53.4,56.1,98.76,46.4,
23,UTA,82,31,51,984.0,113.5,118.0,-4.5,65.1,1.86,19.0,33.1,73.5,52.7,14.7,52.8,56.5,100.98,47.7,
24,MEM,82,27,55,984.0,100.9,114.6,-13.7,66.0,1.56,17.8,26.1,71.9,47.5,15.7,49.3,52.2,100.39,42.0,
25,TOR,82,25,57,984.0,110.0,115.6,-5.6,66.8,1.87,19.7,27.8,70.8,49.0,14.9,53.1,56.1,100.44,47.4,
26,SAS,82,22,60,984.0,107.2,117.0,-9.8,72.2,1.93,20.6,26.4,72.1,48.7,15.2,52.6,55.5,101.95,46.8,
27,CHA,82,21,61,984.0,103.8,116.8,-13.1,64.4,1.64,18.6,25.8,72.0,48.1,15.6,51.8,54.6,98.15,43.7,
27,POR,82,21,61,984.0,108.8,118.9,-10.1,56.9,1.48,16.5,32.8,68.3,49.6,15.6,50.5,54.2,98.24,43.2,
29,WAS,82,15,67,984.0,110.0,119.5,-9.5,67.9,1.9,19.9,24.5,69.4,46.7,14.6,54.0,57.2,103.41,45.6,
30,DET,82,14,68,984.0,104.3,117.4,-13.1,60.4,1.39,17.5,26.2,72.2,49.4,17.2,52.4,55.7,100.83,43.4,
