RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,BOS,82,64,18,984.0,123.5,106.6,16.9,62.5,2.63,20.7,24.4,74.5,51.0,11.1,59.7,62.0,102.02,57.4,
2,DEN,82,57,25,984.0,122.3,107.6,14.7,68.3,2.86,22.5,31.2,72.5,52.9,11.7,58.0,59.8,98.39,56.9,
2,OKC,82,57,25,984.0,119.1,111.8,7.3,62.5,2.7,20.3,23.8,70.9,48.1,10.5,56.8,59.8,101.61,53.0,
4,MIN,82,56,26,984.0,113.5,110.4,3.1,62.9,1.8,19.5,27.3,73.2,51.3,15.0,56.7,59.6,99.34,52.7,
5,LAC,82,51,31,984.0,115.1,109.1,6.1,58.3,1.97,18.8,25.5,73.8,51.0,13.2,56.4,59.1,98.9,53.1,
6,DAL,82,50,32,984.0,117.7,114.6,3.2,58.2,2.0,18.4,25.6,74.4,50.2,12.7,57.0,59.7,102.44,50.3,
6,NYK,82,50,32,984.0,115.1,111.2,3.8,60.1,2.17,18.5,32.1,74.0,52.1,12.2,52.7,55.2,96.17,51.1,
8,MIL,82,49,33,984.0,116.1,112.6,3.5,63.9,2.48,20.3,22.6,74.8,49.4,11.3,56.8,59.2,103.02,51.6,
8,NOP,82,49,33,984.0,118.1,107.5,10.6,66.6,2.3,21.2,25.6,75.6,51.9,13.1,58.2,60.7,100.59,55.9,
8,PHX,82,49,33,984.0,118.9,114.1,4.8,65.3,2.06,20.4,29.7,74.2,52.2,14.1,57.1,60.3,101.05,52.9,
11,CLE,82,48,34,984.0,117.2,113.3,4.0,66.7,2.36,21.3,27.4,73.3,50.4,13.0,57.5,59.6,100.78,52.1,
12,IND,82,47,35,984.0,118.5,118.0,0.5,69.1,2.63,22.5,25.3,72.5,48.8,12.4,58.8,60.6,103.54,50.6,
12,LAL,82,47,35,984.0,112.7,116.3,-3.6,66.3,2.32,20.6,23.6,73.7,49.1,12.4,54.7,57.8,104.93,49.8,
12,ORL,82,47,35,984.0,107.2,110.9,-3.7,63.6,1.66,18.7,27.5,75.9,51.3,15.6,52.6,55.5,99.05,48.7,
12,PHI,82,47,35,984.0,112.9,110.2,2.7,59.1,2.12,17.8,27.0,73.5,49.7,11.6,52.1,56.3,100.71,50.4,
16,GSW,82,46,36,984.0,114.7,110.8,3.9,69.6,1.95,20.7,30.3,76.4,53.8,15.4,56.0,58.4,101.8,51.3,
16,MIA,82,46,36,984.0,112.6,109.2,3.3,67.9,2.26,20.2,21.9,74.1,48.2,12.4,54.3,58.2,99.29,51.6,
16,SAC,82,46,36,984.0,118.2,114.2,4.1,68.7,2.45,21.7,25.4,75.5,50.7,12.7,57.9,60.2,101.37,51.4,
19,HOU,82,41,41,984.0,111.2,109.4,1.8,62.9,2.17,19.0,27.0,75.0,50.9,12.3,52.6,55.5,100.37,50.7,
20,CHI,82,39,43,984.0,108.4,117.1,-8.7,63.6,2.11,19.2,25.5,73.5,49.1,12.7,53.0,55.2,97.83,46.3,
21,ATL,82,36,46,984.0,116.2,117.7,-1.5,63.4,2.39,19.7,28.5,71.9,49.5,11.7,54.3,57.0,102.02,48.9,
22,BKN,82,32,50,984.0,109.8,112.1,-2.3,66.4,2.46,19.5,25.8,74.1,49.2,11.2,52.0,54.4,98.05,48.5,
23,UTA,82,31,51,984.0,111.6,123.8,-12.2,66.6,1.81,19.5,29.7,71.0,50.2,15.3,53.6,56.9,101.76,45.2,
24,MEM,82,27,55,984.0,106.7,112.5,-5.7,67.2,1.94,19.1,27.1,73.5,49.0,13.8,51.4,53.7,99.37,45.8,
25,TOR,82,25,57,984.0,110.2,116.2,-6.0,70.1,2.34,21.4,25.5,70.7,47.7,13.1,53.9,56.0,100.46,48.0,
26,SAS,82,22,60,984.0,106.2,109.5,-3.3,72.7,2.03,21.0,24.3,75.6,50.1,14.6,52.7,55.4,104.39,49.5,
27,CHA,82,21,61,984.0,102.8,116.9,-14.1,64.6,1.87,19.0,22.8,73.7,47.3,13.9,51.0,53.3,99.15,43.5,
27,POR,82,21,61,984.0,104.3,119.0,-14.7,62.3,1.71,17.9,29.7,72.0,49.0,14.7,49.6,52.4,99.9,40.9,
29,WAS,82,15,67,984.0,108.8,117.3,-8.5,66.6,2.03,20.2,21.3,69.3,45.6,13.8,54.7,57.2,104.27,45.6,
30,DET,82,14,68,984.0,106.0,115.5,-9.5,66.3,1.87,19.6,26.6,75.9,50.3,14.7,52.1,54.5,102.66,44.7,
