Player,3PM,confidence_level_3PM,middlebet_3PM
Jayson Tatum,2 to 4,56.67,4
Tyler Herro,1 to 3,47.66,1
Andrew Wiggins,0 to 3,31.46,0
Derrick White,2 to 4,52.29,4
Bam Adebayo,0 to 2,77.34,1
Sam Hauser,0 to 4,15.15,3
Jrue Holiday,0 to 1,14.84,0
Duncan Robinson,1 to 3,44.87,1
Al Horford,0 to 2,5.14,2
Kel'el Ware,0 to 0,0.0,0
Terry Rozier,0 to 2,10.87,0
Davion Mitchell,0 to 1,9.2,0
Kris Dunn,0 to 1,18.0,0
Kawhi Leonard,1 to 4,31.91,3
James Harden,1 to 4,40.59,1
Nicolas Batum,0 to 2,6.97,0
Ivica Zubac,0 to 0,100.0,0
Dyson Daniels,0 to 2,6.63,0
Zaccharie Risacher,0 to 1,32.05,0
Trae Young,0 to 2,22.79,0
Mouhamed Gueye,0 to 0,10.84,0
Onyeka Okongwu,1 to 2,66.01,1
Josh Green,0 to 2,21.62,0
DaQuan Jeffries,0 to 0,27.63,1
LaMelo Ball,2 to 5,47.37,2
Miles Bridges,1 to 3,39.47,3
Mark Williams,0 to 0,100.0,0
Stephon Castle,0 to 0,15.17,0
Devin Vassell,0 to 2,15.55,0
Chris Paul,0 to 2,44.15,0
Harrison Barnes,0 to 2,21.19,0
Bismack Biyombo,0 to 0,100.0,0
