Player,REB,confidence_level_REB,middlebet_REB
Jayson Tatum,4 to 7,59.97,4
Tyler Herro,1 to 3,53.23,1
Andrew Wiggins,2 to 4,51.18,2
Derrick White,1 to 3,39.37,1
Bam Adebayo,6 to 9,67.72,6
Sam Hauser,0 to 2,37.76,0
Jrue Holiday,2 to 4,63.25,3
Duncan Robinson,0 to 2,33.75,0
Al Horford,2 to 5,53.15,2
Kel'el Ware,5 to 9,65.59,7
Terry Rozier,0 to 2,34.12,0
Davion Mitchell,0 to 0,21.93,0
Kris Dunn,1 to 3,42.23,1
Kawhi Leonard,2 to 4,57.35,2
James Harden,1 to 4,48.88,1
Nicolas Batum,0 to 2,42.69,0
Ivica Zubac,7 to 11,70.82,9
Dyson Daniels,3 to 6,62.2,4
Zaccharie Risacher,0 to 2,23.91,0
Trae Young,0 to 1,44.82,0
Mouhamed Gueye,0 to 3,15.39,0
Onyeka Okongwu,5 to 8,67.7,6
Josh Green,0 to 1,37.46,0
DaQuan Jeffries,0 to 1,2.22,0
LaMelo Ball,1 to 4,39.91,1
Miles Bridges,4 to 7,67.89,5
Mark Williams,6 to 10,67.77,8
Stephon Castle,1 to 4,41.0,1
Devin Vassell,1 to 3,34.02,1
Chris Paul,0 to 1,33.31,0
Harrison Barnes,0 to 2,40.07,0
Bismack Biyombo,0 to 2,10.7,0
