Player,PTS,confidence_level_PTS,middlebet_PTS
Cade Cunningham,20 to 21,97.61,20
Jordan Poole,9 to 14,66.3,9
Malik Beasley,8 to 12,69.33,8
Jalen Duren,4 to 6,66.99,5
Tobias Harris,8 to 12,73.12,10
Alex Sarr,7 to 11,69.96,7
Corey Kispert,5 to 8,71.99,6
Khris Middleton,6 to 9,68.22,7
Ausar Thompson,4 to 7,70.8,4
Dennis Schroder,4 to 8,59.23,5
Kyshawn George,4 to 7,65.52,4
Tim Hardaway Jr.,5 to 8,73.97,6
Richaun Holmes,1 to 4,49.08,3
Marcus Smart,5 to 8,68.14,6
Isaiah Stewart,2 to 5,47.84,2
Luka Doncic,14 to 19,78.06,16
Giannis Antetokounmpo,14 to 18,77.87,14
Damian Lillard,14 to 18,78.07,16
Austin Reaves,7 to 11,65.34,9
Kyle Kuzma,8 to 13,67.81,10
Dalton Knecht,2 to 6,42.43,5
Brook Lopez,4 to 8,55.11,7
Gabe Vincent,6 to 7,87.91,6
Dorian Finney-Smith,4 to 6,67.69,4
Taurean Prince,3 to 6,63.95,4
Jarred Vanderbilt,0 to 2,43.23,0
Paolo Banchero,13 to 18,75.98,15
Franz Wagner,18 to 19,97.81,18
Zion Williamson,13 to 16,81.79,13
CJ McCollum,11 to 16,70.57,13
Trey Murphy III,11 to 14,79.42,12
Cole Anthony,5 to 9,56.78,8
Kentavious Caldwell-Pope,3 to 6,58.66,3
Yves Missi,6 to 7,87.63,6
Cam Thomas,11 to 16,74.93,13
Coby White,9 to 13,69.32,9
Cameron Johnson,8 to 12,74.76,10
Kevin Huerter,2 to 6,44.82,5
Matas Buzelis,5 to 9,59.69,6
D'Angelo Russell,10 to 11,95.26,10
Nikola Vucevic,8 to 13,67.55,8
Tre Jones,3 to 6,50.74,5
Zach Collins,0 to 4,4.03,1
Nic Claxton,4 to 7,67.9,5
Ziaire Williams,4 to 7,64.12,5
Keon Johnson,6 to 11,56.25,7
Day'Ron Sharpe,2 to 5,56.4,4
Stephen Curry,12 to 18,70.7,12
Zach LaVine,15 to 16,96.73,15
DeMar DeRozan,10 to 15,67.35,10
Jimmy Butler,5 to 10,53.74,6
Malik Monk,10 to 14,74.8,12
Domantas Sabonis,6 to 11,58.96,7
Keegan Murray,7 to 10,72.22,8
Moses Moody,6 to 9,76.16,7
Buddy Hield,7 to 8,93.32,7
Quinten Post,3 to 6,51.92,5
Draymond Green,3 to 6,51.1,3
Keon Ellis,6 to 7,91.56,6
