PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Justin Edwards,35:28,6,18,33.3,5,9,55.6,2,2,100,0,3,3,2,2,0,1,3,19,-4
Chuma Okeke,32:56,4,9,44.4,2,6,33.3,2,3,66.7,5,4,9,4,1,1,0,2,12,2
Guerschon Yabusele,28:47,4,9,44.4,2,6,33.3,2,2,100,2,5,7,4,1,0,1,2,12,0
Ricky Council I,31:50,2,11,18.2,1,5,20.0,3,4,75.0,1,5,6,4,0,0,2,1,8,0
Jared Butler,32:47,8,16,50.0,3,7,42.9,0,0,0.0,2,0,2,2,3,0,3,2,19,-1
Adem Bona,19:13,3,4,75.0,0,0,0.0,0,0,0.0,2,5,7,1,2,1,0,2,6,-13
Jalen Hood-Schifino,19:06,3,9,33.3,1,4,25.0,2,2,100,0,0,0,0,0,1,2,0,9,-27
Jeff Dowtin Jr,21:48,3,8,37.5,0,3,0.0,6,6,100,0,1,1,2,1,3,2,3,12,-9
Marcus Bagley,18:06,1,3,33.3,0,2,0.0,0,0,0.0,0,2,2,0,1,0,0,1,2,-13
Quentin Grimes,DND - Rest,,,,,,,,,,,,,,,,,,,
Tyrese Maxey,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kelly Oubre Jr,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,34,87,39.1,14,42,33.3,17,19,89.5,12,25,37,19,11,6,11,16,99,-13
Keion Brooks Jr,28:19,4,9,44.4,2,4,50.0,0,0,0.0,0,2,2,1,1,0,0,1,10,-2
Kelly Olynyk,30:24,5,8,62.5,1,2,50.0,3,3,100,3,8,11,7,3,0,4,2,14,3
Yves Missi,25:30,6,7,85.7,0,0,0.0,4,4,100,4,5,9,2,0,1,0,1,16,-9
Jordan Hawkins,23:38,4,14,28.6,1,9,11.1,0,2,0.0,1,4,5,1,0,0,4,2,9,-1
Jose Alvarado,27:45,3,12,25.0,1,6,16.7,2,2,100,0,3,3,6,3,0,4,2,9,3
Karlo Matkovic,22:30,7,11,63.6,3,4,75.0,2,2,100,2,6,8,3,0,1,0,5,19,22
Jeremiah Robinson-Earl,19:45,3,4,75.0,1,2,50.0,0,0,0.0,2,3,5,1,1,0,0,1,7,24
Elfrid Payton,24:39,3,8,37.5,0,0,0.0,0,0,0.0,1,5,6,14,1,2,3,1,6,14
Antonio Reeves,24:22,6,10,60.0,5,7,71.4,0,0,0.0,0,2,2,1,1,1,0,1,17,14
Lester Quinones,10:53,2,3,66.7,1,1,100,0,0,0.0,0,0,0,0,1,0,1,1,5,2
Jamal Cain,2:15,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
CJ McCollum,DND - Rest,,,,,,,,,,,,,,,,,,,
TOTA,,43,87,49.4,15,35,42.9,11,13,84.6,13,38,51,36,11,5,16,17,112,13
