home_team,schedule_team,schedule_matchup,DATE,TIME,location
MIL,NOP,@ New Orleans,2025-01-22,8:00 PM,away
MIL,LAC,@ LA,2025-01-25,10:30 PM,away
MIL,POR,@ Portland,2025-01-28,10:00 PM,away
MIL,MEM,vs Memphis,2025-02-02,8:30 PM,home
MIL,CHA,@ Charlotte,2025-02-05,7:00 PM,away
MIL,PHI,vs Philadelphia,2025-02-09,2:00 PM,home
MIL,MIN,@ Minnesota,2025-02-12,8:00 PM,away
MIL,WAS,@ Washington,2025-02-21,7:00 PM,away
MIL,HOU,@ Houston,2025-02-25,8:00 PM,away
MIL,DAL,@ Dallas,2025-03-01,8:30 PM,away
MIL,DAL,vs Dallas,2025-03-05,9:30 PM,home
MIL,CLE,vs Cleveland,2025-03-09,8:00 PM,home
MIL,LAL,vs Los Angeles,2025-03-13,7:30 PM,home
MIL,OKC,vs Oklahoma City,2025-03-16,9:00 PM,home
MIL,GSW,@ Golden State,2025-03-20,10:00 PM,away
MIL,PHX,@ Phoenix,2025-03-24,10:00 PM,away
MIL,NYK,vs New York,2025-03-28,8:00 PM,home
MIL,PHX,vs Phoenix,2025-04-01,8:00 PM,home
MIL,MIA,@ Miami,2025-04-05,8:00 PM,away
MIL,NOP,vs New Orleans,2025-04-09,8:00 PM,home
