home_team,schedule_team,schedule_matchup,DATE,TIME,location
NOP,UTA,vs Utah,2025-01-20,8:00 PM,home
NOP,MEM,@ Memphis,2025-01-24,8:00 PM,away
NOP,TOR,@ Toronto,2025-01-27,7:30 PM,away
NOP,BOS,vs Boston,2025-01-31,8:00 PM,home
NOP,DEN,@ Denver,2025-02-05,10:00 PM,away
NOP,OKC,@ Oklahoma City,2025-02-10,8:00 PM,away
NOP,SAC,vs Sacramento,2025-02-13,8:00 PM,home
NOP,SAS,vs San Antonio,2025-02-23,7:00 PM,home
NOP,PHX,@ Phoenix,2025-02-27,10:00 PM,away
NOP,UTA,@ Utah,2025-03-02,8:00 PM,away
NOP,HOU,vs Houston,2025-03-06,8:00 PM,home
NOP,MEM,vs Memphis,2025-03-09,7:00 PM,home
NOP,SAS,@ San Antonio,2025-03-15,8:30 PM,away
NOP,MIN,@ Minnesota,2025-03-19,7:30 PM,away
NOP,DET,@ Detroit,2025-03-23,3:00 PM,away
NOP,GSW,vs Golden State,2025-03-28,8:00 PM,home
NOP,LAC,@ LA,2025-04-02,10:00 PM,away
NOP,ORL,vs Orlando,2025-04-06,7:00 PM,home
NOP,MIL,@ Milwaukee,2025-04-09,8:00 PM,away
