home_team,schedule_team,schedule_matchup,DATE,TIME,location
MEM,CHA,vs Charlotte,2025-01-22,8:00 PM,home
MEM,UTA,vs Utah,2025-01-25,8:00 PM,home
MEM,HOU,vs Houston,2025-01-30,9:30 PM,home
MEM,SAS,vs San Antonio,2025-02-03,8:00 PM,home
MEM,OKC,vs Oklahoma City,2025-02-08,8:00 PM,home
MEM,LAC,@ LA,2025-02-12,10:30 PM,away
MEM,ORL,@ Orlando,2025-02-21,7:00 PM,away
MEM,PHX,vs Phoenix,2025-02-25,8:00 PM,home
MEM,SAS,vs San Antonio,2025-03-01,8:00 PM,home
MEM,OKC,vs Oklahoma City,2025-03-05,8:00 PM,home
MEM,NOP,@ New Orleans,2025-03-09,7:00 PM,away
MEM,UTA,vs Utah,2025-03-12,8:00 PM,home
MEM,MIA,vs Miami,2025-03-15,8:00 PM,home
MEM,POR,@ Portland,2025-03-19,10:00 PM,away
MEM,UTA,@ Utah,2025-03-25,9:00 PM,away
MEM,LAL,vs Los Angeles,2025-03-29,8:00 PM,home
MEM,GSW,vs Golden State,2025-04-01,8:00 PM,home
MEM,DET,@ Detroit,2025-04-05,7:00 PM,away
MEM,MIN,vs Minnesota,2025-04-10,9:30 PM,home
