home_team,schedule_team,schedule_matchup,DATE,TIME,location
OKC,UTA,vs Utah,2025-01-22,8:00 PM,home
OKC,POR,@ Portland,2025-01-26,6:00 PM,away
OKC,SAC,vs Sacramento,2025-02-01,8:00 PM,home
OKC,PHX,vs Phoenix,2025-02-05,8:00 PM,home
OKC,MEM,@ Memphis,2025-02-08,8:00 PM,away
OKC,MIA,vs Miami,2025-02-12,8:00 PM,home
OKC,UTA,@ Utah,2025-02-21,9:30 PM,away
OKC,MIN,vs Minnesota,2025-02-24,8:00 PM,home
OKC,ATL,@ Atlanta,2025-02-28,7:30 PM,away
OKC,HOU,vs Houston,2025-03-03,8:00 PM,home
OKC,POR,vs Portland,2025-03-07,8:00 PM,home
OKC,DEN,vs Denver,2025-03-10,8:00 PM,home
OKC,DET,@ Detroit,2025-03-15,7:00 PM,away
OKC,PHI,vs Philadelphia,2025-03-19,8:00 PM,home
OKC,LAC,@ LA,2025-03-23,9:00 PM,away
OKC,MEM,vs Memphis,2025-03-27,8:00 PM,home
OKC,CHI,vs Chicago,2025-03-31,8:00 PM,home
OKC,HOU,@ Houston,2025-04-04,8:00 PM,away
OKC,LAL,vs Los Angeles,2025-04-08,8:00 PM,home
OKC,UTA,@ Utah,2025-04-11,9:30 PM,away
