home_team,schedule_team,schedule_matchup,DATE,TIME,location
HOU,DET,vs Detroit,2025-01-20,2:00 PM,home
HOU,CLE,@ Cleveland,2025-01-25,7:30 PM,away
HOU,ATL,@ Atlanta,2025-01-28,7:30 PM,away
HOU,BKN,vs Brooklyn,2025-02-01,8:00 PM,home
HOU,BKN,@ Brooklyn,2025-02-04,7:30 PM,away
HOU,DAL,@ Dallas,2025-02-08,3:00 PM,away
HOU,PHX,vs Phoenix,2025-02-12,8:30 PM,home
HOU,MIN,vs Minnesota,2025-02-21,8:00 PM,home
HOU,MIL,vs Milwaukee,2025-02-25,8:00 PM,home
HOU,SAC,vs Sacramento,2025-03-01,8:00 PM,home
HOU,IND,@ Indiana,2025-03-04,7:00 PM,away
HOU,NOP,vs New Orleans,2025-03-08,7:00 PM,home
HOU,PHX,vs Phoenix,2025-03-12,8:00 PM,home
HOU,CHI,vs Chicago,2025-03-15,8:00 PM,home
HOU,ORL,@ Orlando,2025-03-19,7:00 PM,away
HOU,DEN,vs Denver,2025-03-23,7:00 PM,home
HOU,UTA,@ Utah,2025-03-27,9:00 PM,away
HOU,LAL,@ Los Angeles,2025-03-31,10:30 PM,away
HOU,OKC,vs Oklahoma City,2025-04-04,8:00 PM,home
HOU,LAC,@ LA,2025-04-09,10:30 PM,away
