home_team,schedule_team,schedule_matchup,DATE,TIME,location
SAS,,vs Indiana *,2025-01-23,2:00 PM,home
SAS,LAC,vs LA,2025-01-29,8:00 PM,home
SAS,MIA,vs Miami,2025-02-01,8:30 PM,home
SAS,ATL,@ Atlanta,2025-02-05,7:30 PM,away
SAS,ORL,@ Orlando,2025-02-08,7:00 PM,away
SAS,BOS,@ Boston,2025-02-12,7:00 PM,away
SAS,DET,vs Detroit,2025-02-21,8:30 PM,home
SAS,NOP,@ New Orleans,2025-02-25,8:00 PM,away
SAS,MEM,@ Memphis,2025-03-01,8:00 PM,away
SAS,BKN,vs Brooklyn,2025-03-04,8:30 PM,home
SAS,MIN,@ Minnesota,2025-03-09,8:00 PM,away
SAS,DAL,vs Dallas,2025-03-12,8:00 PM,home
SAS,NOP,vs New Orleans,2025-03-15,8:30 PM,home
SAS,NYK,vs New York,2025-03-19,8:00 PM,home
SAS,TOR,@ Toronto,2025-03-23,6:00 PM,away
SAS,CLE,@ Cleveland,2025-03-27,7:00 PM,away
SAS,GSW,vs Golden State,2025-03-30,7:00 PM,home
SAS,CLE,vs Cleveland,2025-04-04,8:00 PM,home
SAS,LAC,@ LA,2025-04-08,10:30 PM,away
SAS,PHX,@ Phoenix,2025-04-11,10:00 PM,away
