home_team,schedule_team,schedule_matchup,DATE,TIME,location
MIA,POR,vs Portland,2025-01-21,7:30 PM,home
MIA,BKN,@ Brooklyn,2025-01-25,6:00 PM,away
MIA,CLE,vs Cleveland,2025-01-29,7:30 PM,home
MIA,CHI,@ Chicago,2025-02-04,8:00 PM,away
MIA,BKN,@ Brooklyn,2025-02-07,7:30 PM,away
MIA,OKC,@ Oklahoma City,2025-02-12,8:00 PM,away
MIA,TOR,@ Toronto,2025-02-21,7:30 PM,away
MIA,ATL,@ Atlanta,2025-02-24,7:30 PM,away
MIA,IND,vs Indiana,2025-02-28,8:00 PM,home
MIA,WAS,vs Washington,2025-03-03,7:30 PM,home
MIA,MIN,vs Minnesota,2025-03-07,8:00 PM,home
MIA,CHA,vs Charlotte,2025-03-10,7:30 PM,home
MIA,BOS,vs Boston,2025-03-14,7:00 PM,home
MIA,NYK,@ New York,2025-03-17,7:30 PM,away
MIA,HOU,vs Houston,2025-03-21,8:00 PM,home
MIA,GSW,vs Golden State,2025-03-25,7:30 PM,home
MIA,PHI,@ Philadelphia,2025-03-29,7:30 PM,away
MIA,BOS,@ Boston,2025-04-02,7:30 PM,away
MIA,MIL,vs Milwaukee,2025-04-05,8:00 PM,home
MIA,CHI,@ Chicago,2025-04-09,8:00 PM,away
