PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Ricky Council I,24:34,3,6,50.0,3,5,60.0,1,1,100,0,1,1,2,0,0,1,1,10,5
Justin Edwards,39:38,7,15,46.7,4,7,57.1,0,0,0.0,1,2,3,4,1,0,0,1,18,-20
Oshae Brissett,42:52,4,9,44.4,1,4,25.0,2,5,40.0,2,3,5,2,0,2,4,4,11,3
Quentin Grimes,43:01,15,27,55.6,8,14,57.1,8,13,61.5,2,11,13,4,2,1,6,3,46,-6
Jared Butler,37:07,7,15,46.7,1,5,20.0,6,6,100,0,2,2,5,2,1,1,5,21,2
Alex Reese,13:09,2,4,50.0,2,4,50.0,0,0,0.0,0,1,1,0,0,0,0,1,6,8
Jalen Hood-Schifino,31:29,5,9,55.6,2,4,50.0,0,0,0.0,0,4,4,1,2,0,0,4,12,-17
Jeff Dowtin Jr,15:52,4,8,50.0,3,5,60.0,0,0,0.0,0,3,3,2,0,0,3,1,11,-7
Chuma Okeke,17:19,1,2,50.0,0,1,0.0,0,0,0.0,3,0,3,1,1,0,1,0,2,-3
Tyrese Maxey,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Kelly Oubre Jr,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Guerschon Yabusele,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,48,95,50.5,24,49,49.0,17,25,68.0,8,27,35,21,8,4,16,20,137,-7
Tari Eason,39:09,8,19,42.1,2,7,28.6,3,4,75.0,6,2,8,1,0,1,1,6,21,-16
Dillon Brooks,40:27,8,19,42.1,5,11,45.5,4,4,100,2,4,6,5,2,1,0,6,25,12
Alperen Sengun,21:57,5,9,55.6,0,0,0.0,3,5,60.0,7,4,11,5,0,0,4,4,13,2
Jalen Green,45:18,10,26,38.5,5,17,29.4,5,5,100,0,7,7,13,2,1,4,1,30,15
Fred VanVleet,38:28,1,6,16.7,1,5,20.0,0,0,0.0,0,7,7,5,2,2,2,4,3,-7
Jabari Smith Jr,38:36,11,17,64.7,5,7,71.4,3,4,75.0,1,7,8,3,2,0,4,2,30,6
Jock Landale,5:34,3,3,100,1,1,100,0,0,0.0,2,1,3,1,0,0,0,0,7,-4
Aaron Holiday,13:46,2,3,66.7,2,3,66.7,2,2,100,1,0,1,1,0,0,0,0,8,-5
Jae'Sean Tate,21:45,3,5,60.0,1,2,50.0,0,0,0.0,4,3,7,1,0,0,0,4,7,30
Steven Adams,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Jeff Green,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Reed Sheppard,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Amen Thompson,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
Cam Whitmore,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Nate Williams,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,51,107,47.7,22,53,41.5,20,24,83.3,23,35,58,35,8,5,15,27,144,7
