PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Max Strus,26:23,8,12,66.7,5,8,62.5,3,3,100,2,2,4,1,0,0,0,3,24,-2
Evan Mobley,31:13,7,12,58.3,0,2,0.0,3,6,50.0,0,3,3,1,1,0,1,4,17,-27
Jarrett Allen,31:47,4,7,57.1,0,0,0.0,0,2,0.0,3,5,8,1,1,0,0,2,8,8
Donovan Mitchell,33:33,5,18,27.8,2,9,22.2,6,6,100,1,3,4,11,0,0,2,1,18,-19
Darius Garland,31:47,6,14,42.9,2,6,33.3,3,3,100,2,3,5,8,2,0,2,1,17,8
Ty Jerome,19:31,4,9,44.4,0,4,0.0,2,5,40.0,0,0,0,4,0,0,0,0,10,-14
De'Andre Hunter,20:01,7,10,70.0,3,6,50.0,0,1,0.0,0,1,1,0,0,0,0,4,17,-3
Sam Merrill,13:52,1,3,33.3,1,3,33.3,0,0,0.0,1,0,1,0,0,0,1,2,3,-17
Dean Wade,15:50,1,1,100,0,0,0.0,0,0,0.0,1,2,3,1,1,0,0,2,2,-6
Isaac Okoro,12:12,1,4,25.0,1,3,33.3,0,0,0.0,0,0,0,2,1,0,2,2,3,7
Jaylon Tyson,1:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Craig Porter Jr,1:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Javonte Green,1:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,44,90,48.9,14,41,34.1,17,26,65.4,10,19,29,29,6,0,8,21,119,-13
Norman Powell,17:39,3,6,50.0,1,2,50.0,4,4,100,0,1,1,1,0,0,2,4,11,-7
Kawhi Leonard,35:18,12,19,63.2,5,6,83.3,4,4,100,1,6,7,4,4,0,2,2,33,9
Ivica Zubac,35:18,13,18,72.2,0,0,0.0,2,5,40.0,8,12,20,1,0,1,1,3,28,-4
Kris Dunn,17:04,0,2,0.0,0,2,0.0,2,2,100,0,1,1,0,0,1,1,4,2,-7
James Harden,38:31,5,18,27.8,2,11,18.2,10,11,90.9,1,3,4,9,1,1,0,3,22,3
Bogdan Bogdanovic,29:27,8,8,100,4,4,100,0,0,0.0,0,4,4,7,1,0,2,3,20,19
Derrick Jones Jr,20:25,3,6,50.0,2,5,40.0,2,2,100,1,2,3,0,0,2,1,1,10,17
Nicolas Batum,17:09,1,2,50.0,1,2,50.0,0,0,0.0,1,4,5,3,0,0,2,3,3,7
Ben Simmons,12:42,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,1,1,0,17
Amir Coffey,16:27,1,4,25.0,1,3,33.3,0,0,0.0,1,1,2,1,0,0,0,2,3,11
Kobe Brown,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Drew Eubanks,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Patty Mills,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,46,84,54.8,16,35,45.7,24,28,85.7,14,35,49,28,7,5,12,26,132,13
