RANK,TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT
1,Milwaukee Bucks,73,56,17,12.0,105.0,10.4,78.0,1.8,1.6,4.4,2.5,3.7,9.4
2,Toronto Raptors,72,53,19,12.0,104.9,8.7,70.5,2.2,1.3,4.0,3.9,3.4,10.8
3,Los Angeles Lakers,71,52,19,12.0,109.5,8.5,73.1,1.9,1.5,4.7,3.4,4.6,11.6
4,LA Clippers,72,49,23,12.0,105.3,9.4,74.3,1.8,1.2,4.5,3.3,3.3,11.5
5,Boston Celtics,72,48,24,12.0,104.0,9.2,75.9,2.1,1.5,3.8,2.7,3.6,10.7
6,Denver Nuggets,73,46,27,12.0,107.4,8.6,73.2,2.2,1.3,4.2,3.0,3.0,11.8
7,Indiana Pacers,73,45,28,12.0,103.9,8.7,71.1,2.0,1.4,3.8,3.6,3.2,12.5
8,Houston Rockets,72,44,28,12.0,112.8,8.0,70.9,2.1,1.3,4.9,3.2,3.7,13.8
8,Miami Heat,73,44,29,12.0,109.8,9.0,73.9,2.1,1.3,4.6,3.2,3.0,11.6
8,Oklahoma City Thunder,72,44,28,12.0,109.3,8.5,73.0,2.0,1.3,4.1,3.1,2.8,11.8
8,Utah Jazz,72,44,28,12.0,107.7,9.3,77.7,1.6,1.0,4.6,2.6,4.0,11.9
12,Dallas Mavericks,75,43,32,12.0,116.3,8.5,71.9,1.4,1.0,3.3,3.8,3.7,13.5
12,Philadelphia 76ers,73,43,30,12.0,110.2,8.5,73.7,2.0,1.2,4.3,3.1,3.7,13.1
14,Brooklyn Nets,72,35,37,12.0,107.8,9.3,71.8,1.8,1.2,4.4,3.7,3.2,11.3
14,Portland Trail Blazers,74,35,39,12.0,114.8,8.9,71.7,1.6,1.6,3.6,4.1,3.6,12.1
16,Memphis Grizzlies,73,34,39,12.0,110.4,8.9,70.4,2.3,1.5,4.8,4.0,4.3,12.2
16,Phoenix Suns,73,34,39,12.0,109.3,8.4,71.9,1.8,0.9,4.2,3.5,2.6,12.2
18,Orlando Magic,73,33,40,12.0,108.2,8.4,73.9,2.1,1.4,3.4,2.6,3.0,11.7
19,San Antonio Spurs,71,32,39,12.0,109.5,9.2,74.0,1.9,1.6,4.3,3.7,3.7,11.7
20,Sacramento Kings,72,31,41,12.0,113.0,8.2,73.3,1.7,1.0,4.5,2.8,3.5,11.3
21,New Orleans Pelicans,72,30,42,12.0,114.5,8.5,70.4,1.8,1.2,4.8,3.8,4.0,14.0
22,Washington Wizards,72,25,47,12.0,123.1,7.6,69.0,2.0,1.1,4.5,4.0,3.3,14.2
23,Charlotte Hornets,65,23,42,12.0,113.1,7.9,69.2,1.6,1.1,4.1,3.4,3.6,13.1
24,Chicago Bulls,65,22,43,12.0,109.1,8.0,71.7,2.5,1.0,4.1,3.1,3.3,12.8
25,New York Knicks,66,21,45,12.0,117.6,8.0,71.4,1.9,1.1,4.6,4.0,3.8,11.7
26,Atlanta Hawks,67,20,47,12.0,115.3,8.6,71.6,1.8,1.3,5.1,3.5,3.7,13.2
26,Detroit Pistons,66,20,46,12.0,113.6,8.0,73.3,1.9,1.1,4.5,3.3,3.4,13.9
28,Cleveland Cavaliers,65,19,46,12.0,118.0,8.2,72.0,1.6,1.0,5.3,3.6,3.7,13.5
28,Minnesota Timberwolves,64,19,45,12.0,110.0,8.6,73.3,2.1,1.5,4.6,3.4,3.2,13.0
30,Golden State Warriors,65,15,50,12.0,115.3,8.2,70.9,2.0,1.0,4.3,3.4,3.6,12.0
