PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
OG Anunoby,37:31,7,19,36.8,3,12,25.0,8,8,100,2,4,6,2,3,1,1,4,25,-17
Josh Hart,39:28,5,8,62.5,3,3,100,0,0,0.0,2,2,4,6,1,0,1,4,13,-16
Karl-Anthony Towns,35:49,10,21,47.6,2,4,50.0,2,2,100,1,9,10,3,0,0,1,2,24,-15
Mikal Bridges,32:41,5,11,45.5,0,4,0.0,6,8,75.0,0,4,4,6,3,0,1,0,16,-9
Miles McBride,35:55,4,10,40.0,1,6,16.7,0,0,0.0,0,3,3,6,0,1,0,4,9,-11
Precious Achiuwa,17:18,1,5,20.0,0,2,0.0,0,2,0.0,2,4,6,0,1,0,2,3,2,-5
Landry Shamet,19:12,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-9
Cameron Payne,16:06,2,8,25.0,1,4,25.0,0,0,0.0,0,3,3,3,0,0,0,1,5,-9
Anton Watson,2:00,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2
Tyler Kolek,2:00,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
MarJon Beauchamp,2:00,1,2,50.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,2
,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
Delon Wright,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,
TOTA,,36,90,40.0,10,39,25.6,16,20,80.0,9,29,38,26,9,2,7,18,98,-17
Josh Green,21:10,2,5,40.0,1,4,25.0,0,0,0.0,0,0,0,1,0,0,1,5,5,8
Miles Bridges,33:24,6,17,35.3,2,5,40.0,1,1,100,0,10,10,4,0,0,2,0,15,20
Mark Williams,31:10,8,14,57.1,0,0,0.0,3,3,100,7,7,14,4,0,3,1,1,19,5
DaQuan Jeffries,33:15,4,7,57.1,3,5,60.0,3,4,75.0,0,4,4,0,1,0,1,4,14,8
LaMelo Ball,27:31,10,23,43.5,5,10,50.0,0,0,0.0,2,3,5,8,0,0,2,4,25,2
Seth Curry,18:23,2,3,66.7,0,0,0.0,0,0,0.0,0,1,1,3,0,0,1,2,4,8
Wendell Moore Jr,19:54,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2,0
Jusuf Nurkic,14:53,3,3,100,2,2,100,1,2,50.0,0,7,7,0,0,0,1,0,9,16
Nick Smith Jr,26:54,4,10,40.0,2,4,50.0,3,3,100,0,4,4,3,0,0,1,1,13,16
Moussa Diabate,12:06,2,3,66.7,0,1,0.0,3,4,75.0,1,4,5,0,0,0,0,1,7,4
Taj Gibson,1:20,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-2
Grant Williams,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,
TOTA,,43,88,48.9,15,32,46.9,14,17,82.4,11,41,52,25,1,3,11,20,115,17
