RANK,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,MIL,82,58,24,984.0,118.3,109.6,8.7,59.2,1.93,18.9,30.0,77.2,54.3,13.8,57.5,59.4,102.98,53.9,
2,BOS,82,57,25,984.0,118.1,107.2,10.9,65.4,2.39,20.5,22.8,76.1,50.6,11.9,58.0,60.5,102.66,55.3,
3,PHI,82,54,28,984.0,116.7,111.7,5.0,64.0,2.01,19.7,23.2,74.6,49.9,13.5,57.5,61.4,101.02,52.8,
4,DEN,82,53,29,984.0,119.6,111.7,8.0,67.4,2.31,22.2,27.1,75.6,52.7,13.8,59.7,61.9,101.44,54.8,
5,CLE,82,51,31,984.0,114.2,111.9,2.2,63.1,2.19,19.9,25.5,73.0,48.7,12.7,55.4,58.1,98.71,51.1,
5,MEM,82,51,31,984.0,115.0,104.9,10.1,58.4,2.23,18.7,27.5,73.0,50.5,11.7,54.4,56.7,104.32,55.1,
7,SAC,82,48,34,984.0,115.8,117.1,-1.4,66.0,2.36,20.3,25.6,74.1,49.4,12.1,55.6,58.5,103.51,48.9,
8,NYK,82,47,35,984.0,118.0,112.6,5.4,55.3,1.92,17.3,30.4,77.2,53.4,12.6,55.4,58.1,100.17,51.8,
9,BKN,82,45,37,984.0,114.7,114.3,0.4,63.8,2.24,20.2,22.5,71.2,47.5,12.4,56.1,58.8,100.32,50.2,
9,PHX,82,45,37,984.0,113.2,110.0,3.2,65.0,2.09,20.2,28.7,73.2,51.0,13.8,54.4,57.1,99.54,51.9,
11,GSW,82,44,38,984.0,116.4,116.6,-0.2,71.4,2.14,22.0,24.6,73.8,49.9,14.6,58.7,60.9,104.07,50.3,
11,LAC,82,44,38,984.0,111.6,111.4,0.2,56.6,1.78,17.4,26.3,77.2,51.6,13.4,54.2,57.2,99.83,49.0,
11,MIA,82,44,38,984.0,114.3,116.5,-2.3,64.2,1.99,19.1,28.5,75.5,51.0,13.5,54.1,57.9,99.39,48.8,
14,LAL,82,43,39,984.0,110.2,112.2,-2.0,60.1,1.85,18.5,24.4,75.1,50.2,13.7,54.2,56.9,103.68,50.0,
15,MIN,82,42,40,984.0,118.1,113.2,4.9,62.2,2.06,20.1,26.4,72.4,49.7,13.6,58.5,60.7,102.63,51.4,
15,NOP,82,42,40,984.0,114.0,110.0,4.0,64.3,1.96,19.7,26.3,75.5,51.0,14.1,55.3,58.6,101.93,52.5,
17,ATL,82,41,41,984.0,116.2,114.5,1.7,58.1,2.38,18.9,26.5,73.5,49.6,11.0,54.8,57.8,104.56,51.3,
17,TOR,82,41,41,984.0,114.8,111.5,3.3,58.2,2.3,18.4,27.9,73.7,49.2,11.1,54.0,56.8,100.8,50.9,
19,CHI,82,40,42,984.0,114.3,111.1,3.3,62.6,2.24,20.2,22.5,75.9,50.4,12.4,56.5,59.5,100.17,52.6,
19,OKC,82,40,42,984.0,112.8,115.7,-2.8,54.9,1.93,17.2,24.9,70.6,47.3,12.1,53.8,57.1,104.2,47.4,
21,DAL,82,38,44,984.0,117.9,117.1,0.8,55.4,2.06,17.3,22.4,73.0,47.5,11.2,56.6,60.0,99.46,49.2,
22,UTA,82,37,45,984.0,110.2,113.3,-3.1,62.4,1.64,18.7,26.3,73.0,50.1,15.8,55.0,57.5,103.17,48.1,
23,IND,82,35,47,984.0,106.9,120.3,-13.4,65.2,1.75,19.1,23.4,70.8,46.5,15.0,53.4,56.3,105.02,44.0,
23,WAS,82,35,47,984.0,116.0,113.0,3.0,60.6,2.11,19.6,24.8,74.1,50.6,12.9,56.8,59.6,101.83,52.4,
25,ORL,82,34,48,984.0,108.3,110.8,-2.6,61.3,1.66,18.4,25.5,73.5,49.3,15.3,53.5,56.4,102.71,48.1,
26,POR,82,33,49,984.0,113.1,119.3,-6.2,61.3,1.98,18.8,25.9,70.5,47.7,13.1,54.5,57.6,100.07,46.9,
27,CHA,82,27,55,984.0,107.2,114.1,-6.9,61.3,1.92,18.4,25.1,70.8,47.5,13.2,52.3,54.9,103.63,47.2,
28,HOU,82,22,60,984.0,111.3,121.0,-9.7,52.8,1.44,16.4,34.1,72.9,53.2,15.8,52.9,55.8,100.51,45.4,
28,SAS,82,22,60,984.0,110.7,121.4,-10.7,66.2,2.21,20.3,29.0,72.1,49.4,13.2,53.0,55.1,103.98,45.3,
30,DET,82,17,65,984.0,107.5,120.7,-13.2,56.3,1.5,16.3,28.7,72.2,49.8,14.9,51.5,55.0,101.63,42.4,
